 — Historical Average Rents by Bedroom Type  
2008 to 2025 Row / Apartment October
,Studio,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
2008 October,**,,741,a ,869,a ,**,,894,a ,
2009 October,**,,755,a ,906,a ,**,,813,a ,
2010 October,**,,779,a ,921,a ,**,,964,a ,
2011 October,**,,750,b ,882,a ,**,,959,a ,
2012 October,**,,832,a ,958,a ,**,,"1,001",a ,
2013 October,**,,820,a ,973,a ,**,,"1,016",a ,
2014 October,**,,751,a ,888,a ,**,,975,a ,
2015 October,**,,762,b ,935,a ,**,,"1,026",a ,
2016 October,**,,748,b ,922,a ,**,,"1,027",a ,
2017 October,**,,853,b ,871,a ,**,,865,a ,
2018 October,**,,841,b ,876,b ,**,,858,b ,
2019 October,**,,839,b ,"1,002",a ,**,,"1,098",a ,
2020 October,**,,868,c ,"1,064",b ,**,,"1,111",a ,
2021 October,**,,959,b ,"1,198",a ,**,,"1,310",a ,
2022 October,**,,"1,112",d ,"1,265",c ,**,,"1,193",c ,
2023 October,**,,"1,129",c ,"1,244",b ,**,,"1,314",a ,
2024 October,**,,"1,078",d ,"1,327",d ,**,,"1,226",c ,
2025 October,**,,"1,117",c ,"1,452",c ,**,,"1,436",a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
