 — Historical Average Rents by Bedroom Type  
1990 to 2025 Row / Apartment October
,Studio,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,**,,586,b ,683,b ,**,,643,b ,
1991 October,**,,567,b ,747,d ,**,,661,c ,
1992 October,**,,581,b ,742,b ,**,,677,b ,
1993 October,**,,596,b ,737,c ,**,,678,c ,
1994 October,**,,604,b ,755,c ,**,,698,c ,
1995 October,**,,667,c ,787,c ,**,,743,c ,
1996 October,**,,639,b ,767,b ,**,,718,b ,
1997 October,**,,627,b ,769,b ,**,,714,b ,
1998 October,**,,646,a ,781,b ,**,,728,b ,
1999 October,**,,689,b ,853,b ,**,,798,b ,
2000 October,**,,743,c ,"1,011",c ,**,,918,c ,
2001 October,**,,743,a ,969,b ,**,,874,a ,
2002 October,**,,758,a ,"1,028",b ,**,,928,a ,
2003 October,**,,976,c ,"1,196",d ,**,,"1,127",d ,
2004 October,**,,774,b ,"1,052",b ,**,,963,b ,
2005 October,**,,768,b ,"1,135",b ,**,,993,c ,
2006 October,**,,839,a ,"1,078",d ,**,,984,c ,
2007 October,**,,877,c ,**,,**,,986,d ,
2008 October,**,,850,c ,"1,024",c ,"1,136",a ,969,c ,
2009 October,**,,889,b ,"1,148",d ,**,,"1,046",c ,
2010 October,**,,866,a ,"1,084",d ,**,,990,c ,
2011 October,**,,**,,**,,**,,**,,
2012 October,**,,952,a ,"1,179",d ,**,,"1,090",c ,
2013 October,**,,982,a ,"1,440",c ,"1,799",a ,"1,273",b ,
2014 October,**,,981,b ,"1,179",c ,**,,"1,094",b ,
2015 October,**,,"1,016",b ,"1,195",c ,**,,"1,117",c ,
2016 October,**,,"1,049",c ,"1,207",d ,**,,"1,143",c ,
2017 October,**,,"1,086",c ,"1,355",d ,"1,302",c ,"1,227",d ,
2018 October,**,,**,,**,,**,,**,,
2019 October,**,,"1,102",b ,"1,505",d ,**,,"1,293",c ,
2020 October,**,,"1,174",c ,"1,398",d ,**,,"1,285",d ,
2021 October,**,,"1,249",c ,"1,501",d ,**,,"1,394",d ,
2022 October,**,,"1,389",b ,"1,575",d ,**,,"1,455",c ,
2023 October,**,,"1,320",b ,"1,755",d ,**,,"1,535",d ,
2024 October,**,,**,,"1,933",d ,**,,**,,
2025 October,**,,**,,**,,**,,**,,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
