 — Historical Average Rents by Bedroom Type  
2008 to 2025 Row / Apartment October
,Studio,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
2008 October,**,,695,a ,766,a ,**,,750,a ,
2009 October,**,,647,b ,760,a ,850,c ,743,a ,
2010 October,**,,618,a ,780,a ,**,,731,a ,
2011 October,**,,644,b ,777,a ,**,,739,a ,
2012 October,**,,677,a ,747,a ,**,,746,a ,
2013 October,**,,697,a ,804,a ,**,,775,a ,
2014 October,**,,857,b ,864,b ,**,,872,a ,
2015 October,**,,725,a ,826,a ,**,,799,a ,
2016 October,**,,803,a ,886,a ,**,,863,a ,
2017 October,**,,823,a ,930,a ,**,,900,a ,
2018 October,**,,862,a ,927,a ,**,,908,a ,
2019 October,**,,871,a ,"1,009",a ,**,,938,a ,
2020 October,**,,919,a ,"1,007",a ,**,,983,a ,
2021 October,**,,888,a ,909,a ,**,,901,a ,
2022 October,**,,"1,015",a ,876,a ,**,,905,a ,
2023 October,**,,"1,258",a ,"1,196",b ,**,,"1,203",b ,
2024 October,**,,"1,069",b ,"1,050",b ,**,,"1,050",a ,
2025 October,**,,"1,030",b ,"1,296",a ,**,,"1,222",a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
