 — Historical Average Rents by Bedroom Type  
1990 to 2025 Row / Apartment October
,Studio,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,**,,520,a ,605,a ,**,,573,a ,
1991 October,**,,544,a ,653,a ,**,,613,a ,
1992 October,**,,566,a ,657,a ,**,,622,a ,
1993 October,**,,578,a ,708,a ,**,,661,a ,
1994 October,**,,569,a ,695,a ,**,,651,a ,
1995 October,**,,652,a ,751,a ,**,,712,a ,
1996 October,**,,689,b ,777,a ,**,,748,a ,
1997 October,**,,698,a ,757,a ,**,,739,a ,
1998 October,**,,**,,795,b ,**,,749,a ,
1999 October,**,,742,a ,812,a ,**,,786,a ,
2000 October,**,,**,,**,,**,,**,,
2001 October,**,,**,,**,,**,,**,,
2002 October,**,,**,,**,,**,,**,,
2003 October,**,,**,,**,,**,,**,,
2004 October,**,,857,a ,914,a ,**,,891,a ,
2005 October,**,,818,a ,909,a ,**,,873,a ,
2006 October,**,,860,a ,940,a ,**,,905,a ,
2007 October,**,,**,,"1,035",b ,**,,965,b ,
2008 October,**,,**,,"1,001",b ,**,,938,b ,
2009 October,**,,**,,**,,**,,**,,
2010 October,**,,907,a ,950,a ,**,,934,a ,
2011 October,**,,929,a ,"1,001",a ,**,,970,a ,
2012 October,**,,959,a ,"1,025",a ,**,,997,a ,
2013 October,**,,"1,002",a ,"1,050",a ,**,,"1,030",a ,
2014 October,**,,"1,050",a ,"1,101",a ,**,,"1,080",a ,
2015 October,**,,"1,080",c ,"1,107",b ,**,,"1,098",b ,
2016 October,**,,"1,112",a ,"1,179",a ,**,,"1,153",a ,
2017 October,**,,"1,116",c ,"1,167",b ,**,,"1,153",b ,
2018 October,**,,**,,**,,**,,**,,
2019 October,**,,**,,"1,222",b ,**,,"1,197",b ,
2020 October,**,,**,,**,,**,,**,,
2021 October,**,,**,,**,,**,,**,,
2022 October,**,,**,,**,,**,,**,,
2023 October,**,,**,,**,,**,,**,,
2024 October,**,,**,,**,,**,,**,,
2025 October,**,,**,,**,,**,,**,,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
