 — Historical Average Rents by Bedroom Type  
1990 to 2025 Row / Apartment October
,Studio,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,457,c ,538,a ,639,a ,**,,586,a ,
1991 October,**,,573,a ,678,b ,**,,619,a ,
1992 October,454,a ,589,a ,693,b ,**,,632,a ,
1993 October,**,,617,a ,708,b ,**,,657,b ,
1994 October,**,,633,a ,728,b ,**,,744,b ,
1995 October,**,,666,a ,809,a ,**,,738,b ,
1996 October,**,,672,a ,811,a ,916,a ,798,a ,
1997 October,509,c ,677,a ,825,a ,846,c ,748,a ,
1998 October,**,,689,a ,823,a ,**,,762,a ,
1999 October,505,a ,716,a ,809,b ,820,c ,751,a ,
2000 October,528,b ,754,a ,892,a ,**,,816,a ,
2001 October,**,,760,a ,871,a ,959,d ,818,a ,
2002 October,539,b ,780,a ,925,a ,849,b ,845,a ,
2003 October,**,,810,a ,979,a ,**,,892,a ,
2004 October,612,a ,816,a ,955,a ,**,,884,a ,
2005 October,587,b ,794,a ,929,a ,**,,851,a ,
2006 October,**,,848,b ,**,,"1,251",b ,"1,102",d ,
2007 October,**,,867,a ,"1,029",a ,"1,221",a ,"1,048",a ,
2008 October,**,,902,a ,"1,046",a ,"1,279",a ,"1,073",a ,
2009 October,**,,908,b ,"1,024",b ,**,,"1,122",c ,
2010 October,**,,912,a ,"1,083",a ,"1,291",a ,"1,119",a ,
2011 October,**,,930,a ,"1,094",c ,**,,"1,078",b ,
2012 October,**,,989,b ,"1,156",b ,**,,"1,102",a ,
2013 October,**,,"1,002",a ,"1,190",a ,"1,329",b ,"1,144",a ,
2014 October,**,,"1,036",b ,"1,228",a ,**,,"1,214",a ,
2015 October,**,,"1,112",a ,"1,299",a ,**,,"1,215",a ,
2016 October,**,,"1,076",a ,"1,270",a ,**,,"1,286",a ,
2017 October,**,,"1,200",b ,"1,402",a ,**,,"1,369",a ,
2018 October,**,,"1,127",a ,"1,347",a ,**,,"1,298",b ,
2019 October,**,,"1,171",a ,"1,371",b ,**,,"1,338",b ,
2020 October,**,,"1,296",a ,"1,543",a ,**,,"1,492",b ,
2021 October,**,,"1,326",a ,"1,668",a ,**,,"1,586",b ,
2022 October,**,,"1,259",b ,"1,559",b ,**,,"1,499",c ,
2023 October,**,,"1,371",b ,"1,794",b ,"2,065",b ,"1,695",b ,
2024 October,**,,"1,895",b ,"2,072",a ,"2,255",a ,"2,035",a ,
2025 October,**,,"1,853",b ,"2,187",a ,"2,960",a ,"2,191",b ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
