 — Historical Average Rents by Bedroom Type  
1990 to 2025 Row / Apartment October
,Studio,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,**,,492,a ,618,a ,**,,632,b ,
1991 October,**,,532,a ,683,a ,**,,673,a ,
1992 October,**,,530,b ,676,a ,**,,672,b ,
1993 October,**,,539,a ,685,b ,**,,667,b ,
1994 October,**,,538,a ,695,a ,**,,670,a ,
1995 October,**,,563,a ,683,b ,**,,669,b ,
1996 October,**,,585,c ,649,b ,**,,622,b ,
1997 October,**,,559,b ,660,a ,**,,673,b ,
1998 October,**,,570,a ,639,a ,748,c ,647,a ,
1999 October,**,,581,a ,668,a ,**,,623,a ,
2000 October,**,,625,a ,740,a ,921,c ,729,b ,
2001 October,**,,598,a ,741,a ,943,c ,726,b ,
2002 October,**,,639,a ,774,a ,961,c ,779,b ,
2003 October,**,,657,a ,800,a ,999,c ,807,b ,
2004 October,**,,643,a ,779,a ,909,c ,760,a ,
2005 October,**,,634,c ,764,b ,**,,782,c ,
2006 October,**,,663,a ,801,a ,**,,758,b ,
2007 October,**,,672,a ,803,a ,"1,002",c ,778,b ,
2008 October,**,,676,a ,798,a ,985,b ,793,b ,
2009 October,**,,664,a ,804,a ,"1,013",b ,803,a ,
2010 October,**,,731,a ,846,a ,**,,812,a ,
2011 October,**,,733,a ,783,a ,879,a ,792,a ,
2012 October,**,,726,a ,856,a ,**,,846,a ,
2013 October,**,,750,a ,795,a ,**,,810,a ,
2014 October,**,,786,a ,931,a ,**,,920,a ,
2015 October,**,,760,a ,778,a ,**,,776,a ,
2016 October,**,,805,a ,959,b ,**,,952,b ,
2017 October,**,,798,b ,"1,001",b ,**,,958,b ,
2018 October,**,,830,a ,"1,008",b ,**,,969,b ,
2019 October,**,,865,c ,"1,164",b ,"1,369",a ,"1,181",b ,
2020 October,**,,834,b ,"1,095",b ,**,,"1,211",b ,
2021 October,**,,**,,**,,**,,**,,
2022 October,**,,"1,033",b ,"1,140",c ,**,,"1,166",c ,
2023 October,**,,934,b ,"1,431",c ,**,,"1,245",c ,
2024 October,**,,**,,**,,"1,829",b ,"1,533",d ,
2025 October,**,,**,,**,,**,,**,,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
