 — Historical Average Rents by Bedroom Type  
1990 to 2025 Row / Apartment October
,Studio,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,**,,**,,**,,**,,**,,
1991 October,**,,**,,580,a ,**,,572,a ,
1992 October,**,,**,,**,,**,,**,,
1993 October,**,,**,,597,a ,**,,562,a ,
1994 October,**,,559,a ,652,a ,**,,612,a ,
1995 October,**,,**,,626,a ,**,,627,a ,
1996 October,**,,**,,689,a ,**,,657,b ,
1997 October,**,,**,,728,a ,**,,702,b ,
1998 October,**,,**,,**,,**,,**,,
1999 October,**,,**,,736,a ,**,,674,a ,
2000 October,**,,**,,**,,**,,**,,
2001 October,**,,**,,780,a ,**,,743,a ,
2002 October,**,,**,,**,,**,,**,,
2003 October,**,,**,,839,a ,**,,811,a ,
2004 October,**,,**,,856,a ,**,,820,a ,
2005 October,**,,**,,810,a ,**,,783,a ,
2006 October,**,,**,,879,a ,**,,850,a ,
2007 October,**,,**,,829,a ,**,,845,a ,
2008 October,**,,**,,**,,**,,**,,
2009 October,**,,**,,890,a ,**,,868,a ,
2010 October,**,,**,,**,,**,,**,,
2011 October,**,,**,,**,,**,,**,,
2012 October,**,,**,,**,,**,,**,,
2013 October,**,,**,,**,,**,,**,,
2014 October,**,,977,b ,"1,017",a ,**,,"1,003",a ,
2015 October,**,,**,,**,,**,,**,,
2016 October,**,,**,,**,,**,,**,,
2017 October,**,,**,,**,,**,,**,,
2018 October,**,,**,,**,,**,,**,,
2019 October,**,,**,,**,,**,,**,,
2020 October,**,,**,,**,,**,,**,,
2021 October,**,,**,,**,,**,,**,,
2022 October,**,,**,,**,,**,,**,,
2023 October,**,,**,,**,,**,,**,,
2024 October,**,,**,,**,,**,,**,,
2025 October,**,,**,,**,,**,,**,,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
