 — Historical Average Rents by Bedroom Type  
1990 to 2025 Row / Apartment October
,Studio,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,384,b ,468,a ,622,a ,822,a ,581,a ,
1991 October,383,b ,489,a ,641,a ,931,a ,614,a ,
1992 October,408,b ,534,a ,681,a ,866,a ,649,a ,
1993 October,**,,529,a ,678,a ,864,a ,651,a ,
1994 October,446,b ,563,a ,709,a ,910,a ,685,a ,
1995 October,463,c ,562,a ,713,a ,916,a ,688,a ,
1996 October,534,b ,595,a ,730,a ,896,a ,704,a ,
1997 October,538,b ,609,a ,725,a ,914,a ,709,a ,
1998 October,484,b ,621,a ,757,a ,918,a ,724,a ,
1999 October,536,d ,625,a ,802,a ,962,a ,766,a ,
2000 October,556,b ,672,a ,813,a ,959,a ,782,a ,
2001 October,538,a ,741,a ,850,a ,"1,070",a ,834,a ,
2002 October,527,a ,749,a ,876,a ,"1,038",a ,842,a ,
2003 October,550,a ,741,a ,982,a ,"1,127",a ,920,a ,
2004 October,599,a ,758,a ,914,a ,"1,060",a ,874,a ,
2005 October,604,b ,739,a ,935,a ,"1,135",a ,892,a ,
2006 October,587,a ,767,a ,935,a ,"1,101",a ,908,a ,
2007 October,645,b ,786,a ,964,a ,"1,205",a ,917,a ,
2008 October,627,a ,793,a ,960,a ,"1,221",a ,908,a ,
2009 October,654,a ,815,a ,964,a ,"1,227",a ,919,a ,
2010 October,657,a ,816,a ,986,a ,"1,246",a ,941,a ,
2011 October,680,a ,840,a ,"1,009",a ,"1,290",a ,969,a ,
2012 October,**,,827,a ,"1,024",a ,"1,329",a ,976,a ,
2013 October,686,a ,845,a ,"1,059",a ,"1,377",a ,995,a ,
2014 October,695,b ,867,a ,"1,097",a ,"1,426",a ,"1,035",a ,
2015 October,**,,906,a ,"1,121",a ,"1,444",b ,"1,062",a ,
2016 October,697,a ,917,a ,"1,140",a ,"1,528",a ,"1,079",a ,
2017 October,690,a ,936,b ,"1,172",a ,"1,603",a ,"1,095",a ,
2018 October,759,a ,985,b ,"1,197",a ,"1,672",a ,"1,141",a ,
2019 October,**,,"1,024",b ,"1,261",a ,"1,700",a ,"1,205",a ,
2020 October,**,,"1,068",b ,"1,303",a ,"1,661",a ,"1,245",a ,
2021 October,**,,"1,048",b ,"1,331",c ,**,,"1,280",c ,
2022 October,**,,"1,215",b ,"1,437",a ,**,,"1,385",b ,
2023 October,**,,**,,"1,176",a ,**,,"1,155",a ,
2024 October,**,,"1,188",b ,"1,371",a ,**,,"1,313",b ,
2025 October,**,,"1,214",b ,"1,531",a ,**,,"1,433",b ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
