 — Vacancy Rates by Bedroom Type by Zone
October 2025 Row / Apartment
,Studio,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
Toronto (Central),3.6,b ,2.4,a ,2.9,b ,4.0,d ,2.8,a ,
Toronto (East),**,,3.7,c ,1.3,a ,**,,2.6,b ,
Toronto (North),4.4,c ,3.3,b ,3.0,c ,1.2,a ,3.3,b ,
Toronto (West),4.4,c ,4.3,c ,2.0,c ,**,,3.9,c ,
Etobicoke (South),3.6,c ,3.8,c ,1.7,c ,0.4,b ,2.7,b ,
Etobicoke (Central),**,,3.2,c ,1.5,a ,0.9,a ,1.9,a ,
Etobicoke (North),0.0,d ,2.4,c ,1.4,a ,1.2,a ,1.5,b ,
York,3.6,c ,4.3,c ,2.3,b ,**,,3.3,c ,
East York,**,,4.2,b ,2.4,a ,1.7,b ,3.5,b ,
Scarborough (Central),5.0,c ,3.3,b ,2.4,a ,0.8,a ,2.7,a ,
Scarborough (North),4.3,a ,2.9,a ,2.2,a ,0.9,a ,2.3,a ,
Scarborough (East),5.2,d ,2.5,a ,1.6,a ,1.4,a ,1.9,a ,
North York (Southeast),5.4,d ,3.6,b ,2.4,a ,1.6,b ,2.7,a ,
North York (Northeast),3.4,d ,3.1,b ,2.2,a ,1.3,a ,2.3,a ,
North York (Southwest),5.7,d ,3.0,c ,1.7,c ,**,,2.8,c ,
North York (N.Central),**,,3.3,c ,1.8,a ,1.0,a ,2.2,a ,
North York (Northwest),**,,4.4,c ,1.7,a ,0.9,a ,2.6,b ,
Mississauga (South),**,,4.0,b ,2.9,a ,1.9,c ,3.4,a ,
Mississauga (Northwest),**,,4.8,c ,3.8,b ,3.6,b ,4.1,b ,
Mississauga (Northeast),**,,5.3,b ,3.8,c ,2.3,b ,4.0,b ,
Brampton (West),5.6,d ,4.5,b ,5.3,c ,1.2,a ,4.6,c ,
Brampton (East),2.2,a ,5.4,c ,3.5,b ,1.9,a ,3.8,b ,
Oakville,**,,2.5,b ,4.1,d ,**,,3.3,d ,
Caledon,**,,**,,**,,**,,**,,
Richmond Hill/Vaughan/King,0.0,d ,3.1,d ,2.1,b ,**,,2.4,b ,
"Aurora, Newmkt, Whit-St.",**,,4.4,d ,**,,2.2,c ,5.4,d ,
Markham,**,,3.2,d ,0.3,b ,**,,**,,
Pickering/Ajax/Uxbridge,**,,0.0,d ,2.3,c ,1.1,a ,1.8,c ,
Milton/Halton Hills,**,,3.3,d ,0.9,a ,**,,1.8,c ,
Orangeville/Mono,**,,4.0,d ,4.5,d ,0.0,d ,3.5,c ,
Bradford/West Gwillimbury/New Tecumseth,**,,2.0,c ,1.7,b ,0.0,d ,1.7,b ,
,4.2,a ,3.6,a ,2.5,a ,1.8,a ,3.0,a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
"CMA, CA and CSD definitions are based on 2021 Census Geography Definitions"
Source,CMHC Rental Market Survey
