 — Historical Vacancy Rates by Bedroom Type  
1990 to 2025 Row / Apartment October
,Studio,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,**,,0.0,a ,4.7,a ,15.2,a ,14.2,a ,
1991 October,20.0,a ,8.3,a ,10.5,a ,26.2,a ,21.3,a ,
1992 October,**,,0.7,a ,7.4,a ,22.5,a ,17.4,a ,
1993 October,0.0,a ,2.4,a ,2.1,a ,25.6,a ,19.4,a ,
1994 October,**,,0.0,a ,0.0,a ,18.0,a ,11.9,a ,
1995 October,**,,**,,**,,1.3,a ,0.8,a ,
1996 October,**,,**,,**,,4.2,a ,2.6,a ,
1997 October,**,,**,,**,,0.3,a ,0.2,a ,
1998 October,**,,**,,**,,0.5,a ,0.9,a ,
1999 October,**,,**,,**,,**,,**,,
2000 October,**,,**,,**,,0.0,a ,0.0,c ,
2001 October,**,,0.0,a ,**,,0.3,a ,0.3,a ,
2002 October,**,,**,,**,,0.2,b ,0.2,b ,
2003 October,**,,**,,**,,0.2,b ,0.2,b ,
2004 October,**,,**,,**,,0.3,b ,0.6,b ,
2005 October,**,,**,,**,,**,,**,,
2006 October,**,,**,,**,,**,,**,,
2007 October,**,,**,,**,,**,,**,,
2008 October,**,,**,,**,,**,,**,,
2009 October,**,,**,,**,,0.8,a ,0.7,a ,
2010 October,**,,**,,**,,0.0,a ,**,,
2011 October,**,,**,,**,,2.6,a ,2.6,a ,
2012 October,**,,**,,**,,0.0,a ,**,,
2013 October,**,,**,,**,,0.2,a ,0.2,a ,
2014 October,**,,**,,**,,0.3,a ,0.3,a ,
2015 October,**,,**,,**,,0.0,a ,**,,
2016 October,**,,**,,**,,0.2,a ,0.2,a ,
2017 October,**,,**,,**,,0.5,a ,0.5,a ,
2018 October,**,,**,,**,,1.2,a ,1.1,a ,
2019 October,**,,**,,**,,1.7,a ,1.6,a ,
2020 October,**,,**,,**,,1.1,a ,1.0,a ,
2021 October,**,,**,,**,,0.3,a ,0.3,a ,
2022 October,**,,**,,**,,0.5,a ,0.5,a ,
2023 October,**,,**,,**,,0.5,a ,0.5,a ,
2024 October,**,,**,,**,,0.5,a ,0.5,b ,
2025 October,**,,**,,**,,1.5,c ,**,,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
