 — Historical Vacancy Rates by Bedroom Type  
1990 to 2025 Row / Apartment October
,Studio,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,5.1,b ,2.5,b ,1.4,a ,0.0,c ,1.8,b ,
1991 October,10.7,d ,3.5,c ,3.3,b ,0.2,a ,3.3,b ,
1992 October,**,,8.0,b ,13.2,c ,16.3,d ,11.6,c ,
1993 October,9.3,c ,4.5,c ,5.1,c ,17.5,d ,7.1,c ,
1994 October,3.2,d ,1.7,c ,2.5,b ,14.8,d ,4.1,c ,
1995 October,6.1,c ,2.0,b ,1.4,a ,**,,1.8,b ,
1996 October,4.3,c ,2.1,c ,3.1,c ,5.4,c ,3.2,b ,
1997 October,1.5,a ,2.2,b ,1.1,a ,3.2,b ,1.8,a ,
1998 October,**,,1.5,a ,0.9,a ,1.7,b ,1.3,a ,
1999 October,1.7,c ,1.1,a ,0.5,a ,0.0,c ,0.7,a ,
2000 October,**,,0.3,b ,0.8,a ,4.9,b ,1.2,a ,
2001 October,0.0,c ,0.1,b ,0.2,a ,0.0,c ,0.1,a ,
2002 October,0.0,d ,0.6,a ,1.7,c ,2.5,b ,1.3,a ,
2003 October,0.0,d ,**,,4.9,c ,**,,4.1,c ,
2004 October,0.0,d ,2.9,c ,1.9,b ,2.1,c ,2.2,b ,
2005 October,0.0,d ,2.8,b ,3.3,c ,2.3,b ,2.9,a ,
2006 October,**,,4.5,c ,2.4,c ,2.4,c ,3.2,c ,
2007 October,0.0,c ,2.9,a ,4.2,b ,6.4,b ,3.8,b ,
2008 October,0.0,d ,1.5,a ,4.0,a ,0.0,c ,2.5,a ,
2009 October,**,,2.5,b ,1.3,a ,2.4,b ,1.9,b ,
2010 October,0.0,c ,3.1,c ,0.6,a ,1.1,a ,1.5,a ,
2011 October,0.0,d ,0.7,b ,1.0,a ,0.7,a ,0.8,a ,
2012 October,**,,0.6,a ,0.6,a ,2.3,c ,0.8,a ,
2013 October,**,,2.6,b ,1.7,b ,1.6,c ,2.0,a ,
2014 October,0.0,c ,1.2,a ,1.7,b ,1.8,c ,1.5,a ,
2015 October,1.8,c ,0.8,a ,1.9,b ,0.4,a ,1.4,a ,
2016 October,**,,0.8,d ,1.2,d ,**,,1.1,a ,
2017 October,0.0,d ,1.3,a ,1.3,a ,1.6,c ,1.3,a ,
2018 October,0.0,d ,2.1,c ,1.1,a ,1.1,a ,1.4,a ,
2019 October,0.0,d ,2.4,c ,1.0,a ,0.4,a ,1.4,a ,
2020 October,**,,1.3,a ,1.8,b ,**,,1.8,b ,
2021 October,0.0,d ,1.9,c ,**,,1.1,a ,1.8,c ,
2022 October,0.0,d ,1.5,a ,1.1,a ,0.9,a ,1.2,a ,
2023 October,**,,2.9,c ,1.5,a ,0.4,a ,1.7,c ,
2024 October,**,,**,,3.7,d ,3.1,d ,3.6,d ,
2025 October,0.0,d ,3.8,d ,2.4,c ,1.5,d ,2.5,c ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
