 — Historical Vacancy Rates by Bedroom Type  
1990 to 2025 Row / Apartment October
,Studio,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,6.7,c ,2.3,a ,1.4,a ,3.7,a ,2.3,a ,
1991 October,**,,3.0,a ,3.4,b ,3.0,a ,3.3,a ,
1992 October,**,,6.5,b ,3.9,b ,3.1,a ,4.5,a ,
1993 October,6.4,c ,4.0,b ,3.8,b ,3.2,a ,3.8,a ,
1994 October,8.0,c ,3.7,b ,2.9,a ,2.4,a ,3.1,b ,
1995 October,8.7,c ,3.0,b ,2.7,a ,2.7,a ,2.9,a ,
1996 October,12.6,d ,4.1,b ,3.7,b ,6.1,c ,4.5,b ,
1997 October,**,,2.5,b ,2.1,a ,3.7,b ,2.6,a ,
1998 October,6.6,c ,2.9,a ,1.6,a ,1.8,a ,2.1,a ,
1999 October,**,,2.3,b ,1.9,a ,1.5,a ,1.9,a ,
2000 October,5.1,d ,1.9,b ,1.8,a ,1.3,a ,1.8,a ,
2001 October,3.2,d ,1.5,b ,1.7,a ,1.3,a ,1.6,a ,
2002 October,5.3,d ,2.2,b ,2.3,a ,3.8,b ,2.6,a ,
2003 October,2.4,c ,3.8,c ,2.4,b ,2.6,c ,2.8,a ,
2004 October,**,,3.3,c ,4.2,c ,4.1,c ,4.0,b ,
2005 October,3.1,d ,2.8,b ,3.6,b ,3.2,b ,3.3,b ,
2006 October,4.1,d ,4.0,c ,4.7,b ,4.4,c ,4.5,b ,
2007 October,2.4,c ,4.9,c ,3.5,b ,3.3,c ,3.8,b ,
2008 October,4.6,c ,5.1,b ,3.9,b ,6.2,c ,4.6,b ,
2009 October,**,,4.2,b ,5.1,b ,4.2,b ,4.8,a ,
2010 October,3.5,d ,3.6,a ,3.4,a ,3.3,b ,3.4,a ,
2011 October,1.8,c ,3.1,b ,1.7,a ,1.3,a ,2.0,a ,
2012 October,**,,2.8,b ,2.5,a ,2.2,a ,2.5,a ,
2013 October,1.2,d ,2.6,a ,2.0,a ,1.7,c ,2.0,a ,
2014 October,4.2,d ,1.7,b ,2.0,a ,2.0,a ,2.0,a ,
2015 October,0.0,c ,1.8,b ,2.2,b ,1.6,a ,1.9,a ,
2016 October,**,,1.9,b ,1.9,b ,1.5,b ,1.9,a ,
2017 October,0.5,b ,3.8,b ,2.2,a ,0.7,a ,2.4,a ,
2018 October,0.0,c ,4.6,d ,2.6,a ,2.0,b ,3.0,c ,
2019 October,**,,3.2,d ,2.3,b ,1.8,b ,2.6,b ,
2020 October,0.0,c ,3.9,d ,2.0,b ,0.7,a ,2.4,b ,
2021 October,**,,3.0,b ,2.4,a ,1.3,a ,2.4,a ,
2022 October,**,,3.5,c ,3.1,c ,0.8,a ,3.0,b ,
2023 October,0.0,c ,3.0,d ,1.0,a ,1.3,a ,1.5,b ,
2024 October,1.0,d ,5.2,c ,2.8,b ,3.2,c ,3.5,c ,
2025 October,5.0,d ,6.6,b ,3.1,c ,2.1,c ,4.0,b ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
