 — Historical Vacancy Rates by Bedroom Type  
1990 to 2025 Row / Apartment October
,Studio,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,**,,3.7,a ,0.0,c ,**,,1.4,a ,
1991 October,**,,**,,0.0,c ,**,,0.0,c ,
1992 October,**,,**,,1.4,a ,**,,0.9,a ,
1993 October,**,,**,,0.0,c ,**,,0.0,c ,
1994 October,**,,**,,0.0,c ,**,,0.0,c ,
1995 October,**,,0.0,c ,0.0,c ,**,,0.0,c ,
1996 October,**,,0.0,c ,0.0,c ,**,,0.0,c ,
1997 October,**,,1.2,a ,0.9,a ,**,,1.0,a ,
1998 October,**,,**,,0.0,d ,**,,0.0,d ,
1999 October,**,,0.0,c ,1.1,a ,**,,0.7,b ,
2000 October,**,,0.0,d ,0.0,d ,**,,0.0,d ,
2001 October,**,,**,,**,,**,,**,,
2002 October,**,,**,,**,,**,,**,,
2003 October,**,,**,,**,,**,,**,,
2004 October,**,,**,,3.4,c ,**,,2.7,b ,
2005 October,**,,0.0,c ,2.3,b ,**,,1.4,a ,
2006 October,**,,0.0,c ,0.9,a ,**,,0.5,a ,
2007 October,**,,**,,**,,**,,**,,
2008 October,**,,**,,5.8,d ,**,,4.6,d ,
2009 October,**,,**,,**,,**,,0.8,d ,
2010 October,**,,0.0,c ,5.9,c ,**,,3.7,d ,
2011 October,**,,0.0,c ,2.5,c ,**,,1.4,a ,
2012 October,**,,1.8,c ,0.0,c ,**,,0.8,a ,
2013 October,**,,0.0,c ,1.1,a ,**,,0.7,a ,
2014 October,**,,1.5,c ,8.1,c ,**,,5.4,d ,
2015 October,**,,**,,**,,**,,**,,
2016 October,**,,0.0,c ,2.6,c ,**,,1.6,c ,
2017 October,**,,0.0,d ,**,,**,,**,,
2018 October,**,,**,,**,,**,,**,,
2019 October,**,,**,,0.0,d ,**,,0.0,d ,
2020 October,**,,**,,**,,**,,**,,
2021 October,**,,**,,**,,**,,**,,
2022 October,**,,**,,**,,**,,**,,
2023 October,**,,**,,**,,**,,**,,
2024 October,**,,**,,**,,**,,**,,
2025 October,**,,**,,**,,**,,**,,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
