 — Historical Vacancy Rates by Bedroom Type  
1990 to 2025 Row / Apartment October
,Studio,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,**,,1.3,a ,0.7,a ,0.0,d ,1.1,a ,
1991 October,0.0,b ,2.0,c ,0.7,a ,0.0,d ,1.1,a ,
1992 October,**,,1.3,a ,1.0,a ,2.8,c ,1.3,a ,
1993 October,4.0,d ,2.7,c ,2.7,b ,2.6,a ,2.8,a ,
1994 October,**,,0.0,c ,0.5,a ,1.2,a ,0.5,a ,
1995 October,**,,1.9,c ,0.4,a ,0.0,c ,1.4,a ,
1996 October,**,,0.8,a ,1.2,a ,0.0,c ,1.5,a ,
1997 October,**,,2.9,c ,1.2,a ,1.3,a ,1.9,b ,
1998 October,0.0,c ,2.0,c ,0.5,a ,0.0,c ,1.0,a ,
1999 October,**,,3.0,c ,0.5,a ,0.0,d ,1.6,c ,
2000 October,0.0,d ,0.4,b ,1.2,d ,2.0,c ,0.8,a ,
2001 October,0.0,c ,1.1,a ,0.0,c ,**,,0.4,a ,
2002 October,**,,1.7,c ,0.6,a ,**,,1.2,a ,
2003 October,**,,0.9,a ,2.1,a ,**,,1.5,a ,
2004 October,4.5,d ,1.7,b ,2.4,b ,6.4,a ,2.6,a ,
2005 October,0.0,d ,1.5,a ,1.1,d ,**,,1.2,a ,
2006 October,**,,2.2,c ,0.5,b ,**,,1.3,a ,
2007 October,5.8,d ,1.3,a ,2.8,c ,8.1,c ,2.7,b ,
2008 October,**,,2.7,b ,0.7,a ,**,,1.6,b ,
2009 October,**,,1.4,a ,1.0,a ,5.0,b ,1.5,a ,
2010 October,**,,2.5,c ,1.6,b ,**,,2.0,b ,
2011 October,4.7,d ,0.9,a ,0.5,b ,**,,0.8,a ,
2012 October,0.0,d ,2.7,c ,2.1,c ,2.2,c ,2.2,b ,
2013 October,**,,3.1,d ,1.9,b ,2.1,b ,3.1,c ,
2014 October,5.6,d ,1.1,d ,1.8,c ,**,,1.6,c ,
2015 October,**,,0.4,b ,0.3,b ,**,,0.5,b ,
2016 October,0.0,d ,2.8,c ,0.7,b ,**,,1.6,c ,
2017 October,0.0,d ,2.5,b ,1.0,a ,**,,1.5,a ,
2018 October,0.0,d ,2.3,c ,2.4,c ,2.3,a ,2.2,c ,
2019 October,**,,2.2,c ,1.1,a ,0.0,d ,1.9,c ,
2020 October,0.0,d ,1.1,a ,0.0,d ,**,,0.6,a ,
2021 October,0.0,d ,**,,0.0,d ,**,,0.9,d ,
2022 October,**,,0.5,b ,0.3,b ,**,,0.3,b ,
2023 October,**,,**,,**,,**,,**,,
2024 October,**,,3.4,d ,**,,**,,2.8,c ,
2025 October,**,,5.0,d ,**,,**,,**,,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
