 — Historical Vacancy Rates by Bedroom Type  
1990 to 2025 Row / Apartment October
,Studio,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,**,,**,,6.4,b ,**,,4.2,b ,
1991 October,**,,13.3,d ,8.8,b ,**,,9.1,b ,
1992 October,**,,0.0,d ,**,,**,,**,,
1993 October,**,,4.5,d ,6.5,c ,**,,6.0,c ,
1994 October,8.7,a ,2.7,c ,3.7,c ,4.3,a ,3.7,b ,
1995 October,**,,**,,**,,19.9,d ,**,,
1996 October,**,,**,,0.0,d ,**,,0.7,b ,
1997 October,**,,**,,**,,9.5,c ,7.3,c ,
1998 October,**,,**,,**,,**,,4.2,d ,
1999 October,**,,0.0,d ,**,,**,,1.6,c ,
2000 October,**,,1.4,d ,**,,**,,**,,
2001 October,**,,5.0,d ,**,,**,,**,,
2002 October,**,,**,,**,,**,,**,,
2003 October,**,,**,,**,,**,,**,,
2004 October,**,,2.7,c ,5.6,c ,2.6,a ,4.1,c ,
2005 October,**,,0.0,d ,**,,0.8,a ,1.2,a ,
2006 October,**,,**,,**,,**,,**,,
2007 October,**,,0.0,d ,**,,**,,0.7,b ,
2008 October,**,,0.0,d ,**,,**,,**,,
2009 October,**,,3.2,d ,0.6,a ,3.3,c ,1.9,b ,
2010 October,**,,3.0,d ,**,,**,,**,,
2011 October,**,,0.0,c ,0.9,a ,**,,0.5,a ,
2012 October,**,,0.0,d ,0.6,b ,**,,0.9,a ,
2013 October,**,,**,,0.5,a ,**,,2.1,c ,
2014 October,**,,0.0,d ,0.5,b ,**,,0.3,b ,
2015 October,**,,0.0,d ,**,,**,,**,,
2016 October,**,,**,,**,,1.3,a ,**,,
2017 October,**,,0.0,d ,**,,**,,**,,
2018 October,**,,1.4,d ,**,,**,,**,,
2019 October,**,,0.0,d ,0.0,d ,**,,0.0,d ,
2020 October,**,,0.0,d ,0.0,d ,**,,0.0,d ,
2021 October,**,,**,,**,,**,,**,,
2022 October,**,,**,,**,,**,,1.4,d ,
2023 October,**,,0.0,d ,1.1,d ,**,,0.8,d ,
2024 October,**,,**,,0.0,d ,1.1,a ,0.4,b ,
2025 October,**,,**,,**,,**,,**,,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
