 — Historical Vacancy Rates by Bedroom Type  
1990 to 2025 Row / Apartment October
,Studio,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
1990 October,**,,**,,**,,**,,**,,
1991 October,**,,**,,3.1,c ,**,,1.6,c ,
1992 October,**,,**,,**,,**,,4.2,a ,
1993 October,**,,**,,**,,**,,3.6,d ,
1994 October,**,,**,,8.0,c ,**,,**,,
1995 October,**,,4.3,a ,5.1,a ,**,,3.8,a ,
1996 October,**,,**,,5.0,d ,**,,**,,
1997 October,**,,**,,**,,**,,**,,
1998 October,**,,**,,3.3,b ,**,,1.7,a ,
1999 October,**,,**,,5.7,b ,**,,5.1,a ,
2000 October,**,,**,,**,,**,,**,,
2001 October,**,,**,,**,,**,,**,,
2002 October,**,,**,,**,,**,,**,,
2003 October,**,,**,,**,,**,,**,,
2004 October,**,,**,,5.0,c ,**,,5.8,d ,
2005 October,**,,**,,**,,**,,**,,
2006 October,**,,**,,3.0,d ,**,,3.6,d ,
2007 October,**,,0.0,a ,0.0,a ,**,,0.0,a ,
2008 October,**,,**,,**,,**,,**,,
2009 October,**,,**,,**,,**,,**,,
2010 October,**,,**,,**,,**,,**,,
2011 October,**,,21.9,a ,**,,**,,7.9,b ,
2012 October,**,,**,,2.2,c ,**,,1.2,d ,
2013 October,**,,**,,**,,**,,**,,
2014 October,**,,3.8,a ,**,,**,,1.3,a ,
2015 October,**,,**,,**,,**,,**,,
2016 October,**,,**,,**,,**,,**,,
2017 October,**,,**,,**,,**,,**,,
2018 October,**,,**,,**,,**,,**,,
2019 October,**,,**,,**,,**,,**,,
2020 October,**,,**,,**,,**,,**,,
2021 October,**,,**,,**,,**,,**,,
2022 October,**,,**,,**,,**,,**,,
2023 October,**,,**,,**,,**,,6.3,a ,
2024 October,**,,**,,**,,**,,**,,
2025 October,**,,**,,**,,**,,**,,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a — Excellent, b — Very good, c — Good, d — Poor (Use with Caution))"
** — Data suppressed to protect confidentiality or data not statistically reliable
++ — Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0). (Applies only to % Change of Average Rent Tables).
Source,CMHC Rental Market Survey
