survey_year,area,bedroom_type,value,reliability
2025,Ajax (T),Studio,**,
2025,Ajax (T),1 Bedroom,"1,216",b
2025,Ajax (T),2 Bedroom,"1,727",a
2025,Ajax (T),3 Bedroom +,"1,870",a
2025,Ajax (T),Total,"1,740",a
2025,Aurora (T),Studio,**,
2025,Aurora (T),1 Bedroom,"1,853",b
2025,Aurora (T),2 Bedroom,"2,187",a
2025,Aurora (T),3 Bedroom +,"2,960",a
2025,Aurora (T),Total,"2,191",b
2025,Bradford West Gwillimbury (T),Studio,**,
2025,Bradford West Gwillimbury (T),1 Bedroom,"1,431",c
2025,Bradford West Gwillimbury (T),2 Bedroom,"1,635",c
2025,Bradford West Gwillimbury (T),3 Bedroom +,**,
2025,Bradford West Gwillimbury (T),Total,"1,556",c
2025,Brampton (CY),Studio,"1,430",b
2025,Brampton (CY),1 Bedroom,"1,778",a
2025,Brampton (CY),2 Bedroom,"2,025",a
2025,Brampton (CY),3 Bedroom +,"2,056",a
2025,Brampton (CY),Total,"1,935",a
2025,Caledon (T),Studio,**,
2025,Caledon (T),1 Bedroom,**,
2025,Caledon (T),2 Bedroom,**,
2025,Caledon (T),3 Bedroom +,**,
2025,Caledon (T),Total,**,
2025,East Gwillimbury (T),Studio,**,
2025,East Gwillimbury (T),1 Bedroom,**,
2025,East Gwillimbury (T),2 Bedroom,**,
2025,East Gwillimbury (T),3 Bedroom +,**,
2025,East Gwillimbury (T),Total,**,
2025,Georgina (T),Studio,**,
2025,Georgina (T),1 Bedroom,**,
2025,Georgina (T),2 Bedroom,**,
2025,Georgina (T),3 Bedroom +,**,
2025,Georgina (T),Total,**,
2025,Halton Hills (T),Studio,**,
2025,Halton Hills (T),1 Bedroom,"1,214",b
2025,Halton Hills (T),2 Bedroom,"1,531",a
2025,Halton Hills (T),3 Bedroom +,**,
2025,Halton Hills (T),Total,"1,433",b
2025,Markham (CY),Studio,**,
2025,Markham (CY),1 Bedroom,"1,885",b
2025,Markham (CY),2 Bedroom,"1,996",c
2025,Markham (CY),3 Bedroom +,"1,969",a
2025,Markham (CY),Total,"1,942",b
2025,Milton (T),Studio,**,
2025,Milton (T),1 Bedroom,"1,670",b
2025,Milton (T),2 Bedroom,"1,801",b
2025,Milton (T),3 Bedroom +,**,
2025,Milton (T),Total,"1,735",b
2025,Mississauga (CY),Studio,"1,262",b
2025,Mississauga (CY),1 Bedroom,"1,747",a
2025,Mississauga (CY),2 Bedroom,"2,001",a
2025,Mississauga (CY),3 Bedroom +,"2,176",a
2025,Mississauga (CY),Total,"1,917",a
2025,New Tecumseth (T),Studio,**,
2025,New Tecumseth (T),1 Bedroom,"1,248",a
2025,New Tecumseth (T),2 Bedroom,"1,419",a
2025,New Tecumseth (T),3 Bedroom +,**,
2025,New Tecumseth (T),Total,"1,325",a
2025,Newmarket (T),Studio,**,
2025,Newmarket (T),1 Bedroom,"1,951",b
2025,Newmarket (T),2 Bedroom,"2,384",c
2025,Newmarket (T),3 Bedroom +,**,
2025,Newmarket (T),Total,"2,128",b
2025,Oakville (T),Studio,"1,477",a
2025,Oakville (T),1 Bedroom,"1,915",a
2025,Oakville (T),2 Bedroom,"2,309",b
2025,Oakville (T),3 Bedroom +,"2,385",b
2025,Oakville (T),Total,"2,192",b
2025,Orangeville (T),Studio,"1,350",b
2025,Orangeville (T),1 Bedroom,"1,463",b
2025,Orangeville (T),2 Bedroom,"1,671",c
2025,Orangeville (T),3 Bedroom +,"1,334",c
2025,Orangeville (T),Total,"1,532",b
2025,Pickering (CY),Studio,**,
2025,Pickering (CY),1 Bedroom,**,
2025,Pickering (CY),2 Bedroom,**,
2025,Pickering (CY),3 Bedroom +,"1,828",a
2025,Pickering (CY),Total,"1,826",a
2025,Richmond Hill (T),Studio,"1,328",c
2025,Richmond Hill (T),1 Bedroom,"1,583",a
2025,Richmond Hill (T),2 Bedroom,"1,827",a
2025,Richmond Hill (T),3 Bedroom +,"2,332",c
2025,Richmond Hill (T),Total,"1,726",a
2025,Toronto (C),Studio,"1,499",a
2025,Toronto (C),1 Bedroom,"1,763",a
2025,Toronto (C),2 Bedroom,"2,055",a
2025,Toronto (C),3 Bedroom +,"2,342",a
2025,Toronto (C),Total,"1,916",a
2025,Uxbridge (TP),Studio,**,
2025,Uxbridge (TP),1 Bedroom,**,
2025,Uxbridge (TP),2 Bedroom,**,
2025,Uxbridge (TP),3 Bedroom +,**,
2025,Uxbridge (TP),Total,**,
2025,Vaughan (CY),Studio,**,
2025,Vaughan (CY),1 Bedroom,**,
2025,Vaughan (CY),2 Bedroom,**,
2025,Vaughan (CY),3 Bedroom +,**,
2025,Vaughan (CY),Total,**,
2025,Whitchurch-Stouffville (T),Studio,**,
2025,Whitchurch-Stouffville (T),1 Bedroom,**,
2025,Whitchurch-Stouffville (T),2 Bedroom,**,
2025,Whitchurch-Stouffville (T),3 Bedroom +,**,
2025,Whitchurch-Stouffville (T),Total,**,
2025,Total,Studio,"1,491",a
2025,Total,1 Bedroom,"1,761",a
2025,Total,2 Bedroom,"2,045",a
2025,Total,3 Bedroom +,"2,294",a
2025,Total,Total,"1,917",a
