survey_year,area,bedroom_type,value,reliability
2025,Toronto (Central),Studio,"1,606",a
2025,Toronto (Central),1 Bedroom,"2,042",a
2025,Toronto (Central),2 Bedroom,"2,776",b
2025,Toronto (Central),3 Bedroom +,"3,580",d
2025,Toronto (Central),Total,"2,163",a
2025,Toronto (East),Studio,"1,213",b
2025,Toronto (East),1 Bedroom,"1,692",a
2025,Toronto (East),2 Bedroom,"1,869",c
2025,Toronto (East),3 Bedroom +,"1,876",d
2025,Toronto (East),Total,"1,685",b
2025,Toronto (North),Studio,"1,570",a
2025,Toronto (North),1 Bedroom,"1,892",a
2025,Toronto (North),2 Bedroom,"2,476",a
2025,Toronto (North),3 Bedroom +,"2,985",c
2025,Toronto (North),Total,"2,057",a
2025,Toronto (West),Studio,"1,410",a
2025,Toronto (West),1 Bedroom,"1,798",b
2025,Toronto (West),2 Bedroom,"2,252",b
2025,Toronto (West),3 Bedroom +,"3,238",b
2025,Toronto (West),Total,"1,945",b
2025,Etobicoke (South),Studio,"1,502",a
2025,Etobicoke (South),1 Bedroom,"1,493",a
2025,Etobicoke (South),2 Bedroom,"1,762",a
2025,Etobicoke (South),3 Bedroom +,**,
2025,Etobicoke (South),Total,"1,630",a
2025,Etobicoke (Central),Studio,"1,693",a
2025,Etobicoke (Central),1 Bedroom,"1,874",a
2025,Etobicoke (Central),2 Bedroom,"2,200",a
2025,Etobicoke (Central),3 Bedroom +,"2,529",a
2025,Etobicoke (Central),Total,"2,162",a
2025,Etobicoke (North),Studio,"1,342",d
2025,Etobicoke (North),1 Bedroom,"1,718",a
2025,Etobicoke (North),2 Bedroom,"2,015",a
2025,Etobicoke (North),3 Bedroom +,"2,321",b
2025,Etobicoke (North),Total,"2,047",b
2025,York,Studio,"1,381",a
2025,York,1 Bedroom,"1,706",a
2025,York,2 Bedroom,"2,067",b
2025,York,3 Bedroom +,"2,547",b
2025,York,Total,"1,864",a
2025,East York,Studio,"1,339",b
2025,East York,1 Bedroom,"1,578",a
2025,East York,2 Bedroom,"1,820",a
2025,East York,3 Bedroom +,"2,178",b
2025,East York,Total,"1,715",a
2025,Scarborough (Central),Studio,"1,520",a
2025,Scarborough (Central),1 Bedroom,"1,610",a
2025,Scarborough (Central),2 Bedroom,"1,843",a
2025,Scarborough (Central),3 Bedroom +,"1,932",b
2025,Scarborough (Central),Total,"1,754",a
2025,Scarborough (North),Studio,"1,335",a
2025,Scarborough (North),1 Bedroom,"1,616",a
2025,Scarborough (North),2 Bedroom,"1,774",a
2025,Scarborough (North),3 Bedroom +,"1,811",a
2025,Scarborough (North),Total,"1,717",a
2025,Scarborough (East),Studio,"1,460",a
2025,Scarborough (East),1 Bedroom,"1,633",a
2025,Scarborough (East),2 Bedroom,"1,852",a
2025,Scarborough (East),3 Bedroom +,"2,072",b
2025,Scarborough (East),Total,"1,816",a
2025,North York (Southeast),Studio,"1,188",d
2025,North York (Southeast),1 Bedroom,"1,638",a
2025,North York (Southeast),2 Bedroom,"1,890",a
2025,North York (Southeast),3 Bedroom +,"2,238",a
2025,North York (Southeast),Total,"1,842",a
2025,North York (Northeast),Studio,"1,498",a
2025,North York (Northeast),1 Bedroom,"1,815",a
2025,North York (Northeast),2 Bedroom,"2,156",a
2025,North York (Northeast),3 Bedroom +,"2,342",a
2025,North York (Northeast),Total,"2,081",a
2025,North York (Southwest),Studio,"1,379",b
2025,North York (Southwest),1 Bedroom,"1,567",a
2025,North York (Southwest),2 Bedroom,"1,814",a
2025,North York (Southwest),3 Bedroom +,"2,243",b
2025,North York (Southwest),Total,"1,728",a
2025,North York (N.Central),Studio,"1,471",b
2025,North York (N.Central),1 Bedroom,"1,771",a
2025,North York (N.Central),2 Bedroom,"2,039",a
2025,North York (N.Central),3 Bedroom +,"2,324",b
2025,North York (N.Central),Total,"1,989",a
2025,North York (Northwest),Studio,"1,167",c
2025,North York (Northwest),1 Bedroom,"1,517",a
2025,North York (Northwest),2 Bedroom,"1,751",a
2025,North York (Northwest),3 Bedroom +,"1,966",b
2025,North York (Northwest),Total,"1,700",a
2025,Mississauga (South),Studio,"1,338",b
2025,Mississauga (South),1 Bedroom,"1,684",a
2025,Mississauga (South),2 Bedroom,"1,929",a
2025,Mississauga (South),3 Bedroom +,"1,963",b
2025,Mississauga (South),Total,"1,819",a
2025,Mississauga (Northwest),Studio,"1,577",b
2025,Mississauga (Northwest),1 Bedroom,"1,989",a
2025,Mississauga (Northwest),2 Bedroom,"2,280",b
2025,Mississauga (Northwest),3 Bedroom +,"2,340",a
2025,Mississauga (Northwest),Total,"2,182",a
2025,Mississauga (Northeast),Studio,**,
2025,Mississauga (Northeast),1 Bedroom,"1,719",a
2025,Mississauga (Northeast),2 Bedroom,"1,964",a
2025,Mississauga (Northeast),3 Bedroom +,"2,228",a
2025,Mississauga (Northeast),Total,"1,908",a
2025,Brampton (West),Studio,"1,510",b
2025,Brampton (West),1 Bedroom,"1,782",a
2025,Brampton (West),2 Bedroom,"2,047",a
2025,Brampton (West),3 Bedroom +,"2,161",b
2025,Brampton (West),Total,"1,953",a
2025,Brampton (East),Studio,"1,320",a
2025,Brampton (East),1 Bedroom,"1,770",a
2025,Brampton (East),2 Bedroom,"1,992",a
2025,Brampton (East),3 Bedroom +,"1,964",a
2025,Brampton (East),Total,"1,907",a
2025,Oakville,Studio,"1,477",a
2025,Oakville,1 Bedroom,"1,915",a
2025,Oakville,2 Bedroom,"2,309",b
2025,Oakville,3 Bedroom +,"2,385",b
2025,Oakville,Total,"2,192",b
2025,Caledon,Studio,**,
2025,Caledon,1 Bedroom,**,
2025,Caledon,2 Bedroom,**,
2025,Caledon,3 Bedroom +,**,
2025,Caledon,Total,**,
2025,Richmond Hill/Vaughan/King,Studio,"1,328",c
2025,Richmond Hill/Vaughan/King,1 Bedroom,"1,583",a
2025,Richmond Hill/Vaughan/King,2 Bedroom,"1,827",b
2025,Richmond Hill/Vaughan/King,3 Bedroom +,"2,332",c
2025,Richmond Hill/Vaughan/King,Total,"1,726",b
2025,"Aurora, Newmkt, Whit-St.",Studio,**,
2025,"Aurora, Newmkt, Whit-St.",1 Bedroom,"1,863",b
2025,"Aurora, Newmkt, Whit-St.",2 Bedroom,"2,183",b
2025,"Aurora, Newmkt, Whit-St.",3 Bedroom +,"2,518",b
2025,"Aurora, Newmkt, Whit-St.",Total,"2,053",b
2025,Markham,Studio,**,
2025,Markham,1 Bedroom,"1,885",b
2025,Markham,2 Bedroom,"1,996",c
2025,Markham,3 Bedroom +,"1,969",a
2025,Markham,Total,"1,942",b
2025,Pickering/Ajax/Uxbridge,Studio,**,
2025,Pickering/Ajax/Uxbridge,1 Bedroom,"1,396",d
2025,Pickering/Ajax/Uxbridge,2 Bedroom,"1,749",a
2025,Pickering/Ajax/Uxbridge,3 Bedroom +,"1,858",a
2025,Pickering/Ajax/Uxbridge,Total,"1,770",a
2025,Milton/Halton Hills,Studio,**,
2025,Milton/Halton Hills,1 Bedroom,"1,516",b
2025,Milton/Halton Hills,2 Bedroom,"1,667",b
2025,Milton/Halton Hills,3 Bedroom +,**,
2025,Milton/Halton Hills,Total,"1,600",b
2025,Orangeville/Mono,Studio,"1,350",b
2025,Orangeville/Mono,1 Bedroom,"1,463",b
2025,Orangeville/Mono,2 Bedroom,"1,671",c
2025,Orangeville/Mono,3 Bedroom +,"1,334",c
2025,Orangeville/Mono,Total,"1,532",b
2025,Bradford/West Gwillimbury/New Tecumseth,Studio,**,
2025,Bradford/West Gwillimbury/New Tecumseth,1 Bedroom,"1,310",b
2025,Bradford/West Gwillimbury/New Tecumseth,2 Bedroom,"1,507",b
2025,Bradford/West Gwillimbury/New Tecumseth,3 Bedroom +,"1,244",a
2025,Bradford/West Gwillimbury/New Tecumseth,Total,"1,407",b
2025,Total,Studio,"1,491",a
2025,Total,1 Bedroom,"1,761",a
2025,Total,2 Bedroom,"2,045",a
2025,Total,3 Bedroom +,"2,294",a
2025,Total,Total,"1,917",a
