csd_code,municipality,survey_period,bedroom_type,value,reliability
3520005,Toronto,1998 October,Studio,588,a
3520005,Toronto,1998 October,1 Bedroom,727,a
3520005,Toronto,1998 October,2 Bedroom,882,a
3520005,Toronto,1998 October,3 Bedroom +,"1,069",a
3520005,Toronto,1998 October,Total,808,a
3520005,Toronto,1999 October,Studio,626,a
3520005,Toronto,1999 October,1 Bedroom,772,a
3520005,Toronto,1999 October,2 Bedroom,925,a
3520005,Toronto,1999 October,3 Bedroom +,"1,105",a
3520005,Toronto,1999 October,Total,849,a
3520005,Toronto,2000 October,Studio,685,a
3520005,Toronto,2000 October,1 Bedroom,833,a
3520005,Toronto,2000 October,2 Bedroom,984,a
3520005,Toronto,2000 October,3 Bedroom +,"1,194",a
3520005,Toronto,2000 October,Total,912,a
3520005,Toronto,2001 October,Studio,698,a
3520005,Toronto,2001 October,1 Bedroom,870,a
3520005,Toronto,2001 October,2 Bedroom,"1,039",a
3520005,Toronto,2001 October,3 Bedroom +,"1,243",a
3520005,Toronto,2001 October,Total,955,a
3520005,Toronto,2002 October,Studio,733,a
3520005,Toronto,2002 October,1 Bedroom,894,a
3520005,Toronto,2002 October,2 Bedroom,"1,055",a
3520005,Toronto,2002 October,3 Bedroom +,"1,284",a
3520005,Toronto,2002 October,Total,981,a
3520005,Toronto,2003 October,Studio,734,a
3520005,Toronto,2003 October,1 Bedroom,884,a
3520005,Toronto,2003 October,2 Bedroom,"1,045",a
3520005,Toronto,2003 October,3 Bedroom +,"1,236",a
3520005,Toronto,2003 October,Total,967,a
3520005,Toronto,2004 October,Studio,730,a
3520005,Toronto,2004 October,1 Bedroom,888,a
3520005,Toronto,2004 October,2 Bedroom,"1,061",a
3520005,Toronto,2004 October,3 Bedroom +,"1,263",a
3520005,Toronto,2004 October,Total,978,a
3520005,Toronto,2005 October,Studio,726,a
3520005,Toronto,2005 October,1 Bedroom,889,a
3520005,Toronto,2005 October,2 Bedroom,"1,060",a
3520005,Toronto,2005 October,3 Bedroom +,"1,267",a
3520005,Toronto,2005 October,Total,977,a
3520005,Toronto,2006 October,Studio,743,a
3520005,Toronto,2006 October,1 Bedroom,897,a
