csd_code,municipality,survey_period,bedroom_type,value,reliability
3520005,Toronto,1998 October,Studio,1.2,a
3520005,Toronto,1998 October,1 Bedroom,0.8,a
3520005,Toronto,1998 October,2 Bedroom,0.7,a
3520005,Toronto,1998 October,3 Bedroom +,1.2,a
3520005,Toronto,1998 October,Total,0.9,a
3520005,Toronto,1999 October,Studio,0.9,a
3520005,Toronto,1999 October,1 Bedroom,0.8,a
3520005,Toronto,1999 October,2 Bedroom,0.9,a
3520005,Toronto,1999 October,3 Bedroom +,1.5,a
3520005,Toronto,1999 October,Total,0.9,a
3520005,Toronto,2000 October,Studio,0.7,a
3520005,Toronto,2000 October,1 Bedroom,0.6,a
3520005,Toronto,2000 October,2 Bedroom,0.6,a
3520005,Toronto,2000 October,3 Bedroom +,0.8,a
3520005,Toronto,2000 October,Total,0.6,a
3520005,Toronto,2001 October,Studio,1.2,a
3520005,Toronto,2001 October,1 Bedroom,0.9,a
3520005,Toronto,2001 October,2 Bedroom,0.7,a
3520005,Toronto,2001 October,3 Bedroom +,0.8,a
3520005,Toronto,2001 October,Total,0.9,a
3520005,Toronto,2002 October,Studio,2.8,a
3520005,Toronto,2002 October,1 Bedroom,2.6,a
3520005,Toronto,2002 October,2 Bedroom,2.2,a
3520005,Toronto,2002 October,3 Bedroom +,2.5,a
3520005,Toronto,2002 October,Total,2.5,a
3520005,Toronto,2003 October,Studio,4.2,b
3520005,Toronto,2003 October,1 Bedroom,4.0,a
3520005,Toronto,2003 October,2 Bedroom,3.7,a
3520005,Toronto,2003 October,3 Bedroom +,4.0,a
3520005,Toronto,2003 October,Total,3.9,a
3520005,Toronto,2004 October,Studio,4.1,a
3520005,Toronto,2004 October,1 Bedroom,4.3,a
3520005,Toronto,2004 October,2 Bedroom,4.4,a
3520005,Toronto,2004 October,3 Bedroom +,4.5,a
3520005,Toronto,2004 October,Total,4.4,a
3520005,Toronto,2005 October,Studio,4.3,b
3520005,Toronto,2005 October,1 Bedroom,3.8,a
3520005,Toronto,2005 October,2 Bedroom,3.6,a
3520005,Toronto,2005 October,3 Bedroom +,4.1,a
3520005,Toronto,2005 October,Total,3.8,a
3520005,Toronto,2006 October,Studio,3.5,a
3520005,Toronto,2006 October,1 Bedroom,3.6,a
3520005,Toronto,2006 October,2 Bedroom,3.1,a
