"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Selected income characteristics of census families by family type","11100009","111-0009","https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1110000901",1;4;15;16;18;25,"CURRENT - a cube available to the public and that is current","Annual","2000-01-01","2023-01-01","2",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",19,""
"2","Family characteristics",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Campbellton, combined New Brunswick/Quebec","[330]","175","1","",12,
"1","Hawkesbury, combined Ontario/Quebec","[502]","176","1","",12,
"1","Ottawa - Gatineau, combined Ontario/Quebec","[505]","177","1","",12;20;23,
"1","Lloydminster, combined Alberta/Saskatchewan","[840]","178","1","",12,
"1","Newfoundland and Labrador","[10]","2","1","",,
"1","Prince Edward Island","[11]","4","1","",,
"1","Nova Scotia","[12]","5","1","",,
"1","New Brunswick","[13]","7","1","",,
"1","Quebec","[24]","9","1","",,
"1","Ontario","[35]","16","1","",,
"1","Manitoba","[46]","27","1","",,
"1","Saskatchewan","[47]","29","1","",,
"1","Alberta","[48]","32","1","",,
"1","British Columbia","[59]","35","1","",,
"1","Yukon","[60]","38","1","",,
"1","Northwest Territories","[61]","39","1","",,
"1","Nunavut","[62]","40","1","",,
"1","Gander, Newfoundland and Labrador","[011]","184","2","",,
"1","St. John's, Newfoundland and Labrador","[001]","3","2","",23,
"1","Bay Roberts, Newfoundland and Labrador","[005]","49","2","t",,
"1","Grand Falls-Windsor, Newfoundland and Labrador","[010]","50","2","",,
"1","Corner Brook, Newfoundland and Labrador","[015]","51","2","",,
"1","Non CMA-CA, Newfoundland and Labrador","[10000]","52","2","",22;23,
"1","Charlottetown, Prince Edward Island","[105]","53","4","",,
"1","Summerside, Prince Edward Island","[110]","54","4","",,
"1","Non CMA-CA, Prince Edward Island","[11100]","55","4","",22,
"1","Halifax, Nova Scotia","[205]","6","5","",23,
"1","Kentville, Nova Scotia","[210]","56","5","",,
"1","Truro, Nova Scotia","[215]","57","5","",,
"1","New Glasgow, Nova Scotia","[220]","58","5","",,
"1","Cape Breton, Nova Scotia","[225]","59","5","",,
"1","Non CMA-CA, Nova Scotia","[12200]","60","5","",22;23,
"1","Saint John, New Brunswick","[310]","8","7","",,
"1","Moncton, New Brunswick","[305]","43","7","",24,
"1","Fredericton, New Brunswick","[320]","61","7","",23,
"1","Bathurst, New Brunswick","[328]","62","7","",,
"1","Miramichi, New Brunswick","[329]","63","7","",,
"1","Campbellton, New Brunswick part","[13330]","64","7","",12,
"1","Edmundston, New Brunswick","[335]","65","7","",,
"1","Non CMA-CA, New Brunswick","[13300]","66","7","",22;23,
"1","Salaberry-de-Valleyfield, Quebec","[465]","87","9","",,
"1","Lachute, Quebec","[468]","88","9","",,
"1","Val-d'Or, Quebec","[480]","89","9","",,
"1","Amos, Quebec","[481]","90","9","",23,
"1","Rouyn-Noranda, Quebec","[485]","91","9","",,
"1","Hawkesbury, Quebec part","[24502]","92","9","",12,
"1","Non CMA-CA, Quebec","[24400]","93","9","",22;23,
"1","Sainte-Marie, Quebec","[423]","185","9","",,
"1","Sainte-Agathe-des-Monts, Quebec","[467]","192","9","",,
"1","Saguenay, Quebec","[408]","10","9","",13;23,
"1","Québec, Quebec","[421]","11","9","",23,
"1","Sherbrooke, Quebec","[433]","12","9","",,
"1","Trois-Rivières, Quebec","[442]","13","9","",,
"1","Montréal, Quebec","[462]","14","9","",20;23,
"1","Ottawa-Gatineau, Quebec part","[24505]","15","9","",12;23,
"1","Campbellton, Quebec part","[24330]","67","9","",12,
"1","Matane, Quebec","[403]","68","9","",,
"1","Rimouski, Quebec","[404]","69","9","",,
"1","Rivière-du-loup, Quebec","[405]","70","9","",,
"1","Baie-Comeau, Quebec","[406]","71","9","",,
"1","Alma, Quebec","[410]","72","9","",,
"1","Dolbeau-Mistassini, Quebec","[411]","73","9","",,
"1","Sept-Îles, Quebec","[412]","74","9","",,
"1","Saint-Georges, Quebec","[428]","75","9","",,
"1","Thetford Mines, Quebec","[430]","76","9","",,
"1","Cowansville, Quebec","[437]","77","9","",,
"1","Victoriaville, Quebec","[440]","78","9","",,
"1","Shawinigan, Quebec","[444]","79","9","",,
"1","La Tuque, Quebec","[446]","80","9","t",,
"1","Drummondville, Quebec","[447]","81","9","",23,
"1","Granby, Quebec","[450]","82","9","",,
"1","Saint-Hyacinthe, Quebec","[452]","83","9","",,
"1","Sorel-Tracy, Quebec","[454]","84","9","",,
"1","Joliette, Quebec","[456]","85","9","",,
"1","Saint-Jean-sur-Richelieu, Quebec","[459]","86","9","t",20,
"1","Cornwall, Ontario","[501]","94","16","",,
"1","Hawkesbury, Ontario part","[35502]","95","16","",12,
"1","Brockville, Ontario","[512]","96","16","",,
"1","Pembroke, Ontario","[515]","97","16","",,
"1","Petawawa, Ontario","[516]","98","16","",,
"1","Belleville-Quinte West, Ontario","[522]","99","16","",13,
"1","Cobourg, Ontario","[527]","100","16","",,
"1","Port Hope, Ontario","[528]","101","16","",,
"1","Kawartha Lakes, Ontario","[530]","102","16","",,
"1","Centre Wellington, Ontario","[531]","103","16","",,
"1","Ingersoll, Ontario","[533]","104","16","",,
"1","Woodstock, Ontario","[544]","105","16","",,
"1","Tillsonburg, Ontario","[546]","106","16","",,
