REF_DATE,GEO,DGUID,Family characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2000,Canada,2021A11124,All tax filers,Number,223,units,0,v21187309,1.1,22248670,,,,0
2000,Canada,2021A11124,"All tax filers and dependants, all age groups",Number,223,units,0,v21187310,1.2,29891290,,,,0
2000,Canada,2021A11124,"Tax filers and dependants, under age 15 years",Number,223,units,0,v21187311,1.3,5824310,,,,0
2000,Canada,2021A11124,Tax filers and dependants aged 15 to 64 years,Number,223,units,0,v21187312,1.4,20260360,,,,0
2000,Canada,2021A11124,Tax filers and dependants aged 65 years and over,Number,223,units,0,v21187313,1.5,3806620,,,,0
2000,Canada,2021A11124,All families,Number,223,units,0,v21187314,1.6,8436100,,,,0
2000,Canada,2021A11124,Couple families,Number,223,units,0,v21187315,1.7,7118340,,,,0
2000,Canada,2021A11124,One-parent families,Number,223,units,0,v21187316,1.8,1317760,,,,0
2000,Canada,2021A11124,"Median total income, all families",Dollars,81,units,0,v21187317,1.9,50800,,,,0
2000,Canada,2021A11124,"Per capita income, all families",Dollars,81,units,0,v21187318,1.10,21800,,,t,0
2000,Canada,2021A11124,"Median total income, couple families",Dollars,81,units,0,v21187319,1.11,56500,,,,0
2000,Canada,2021A11124,"Per capita income, couple families",Dollars,81,units,0,v21187320,1.12,23200,,,t,0
2000,Canada,2021A11124,"Median total income, one-parent families",Dollars,81,units,0,v21187321,1.13,24900,,,,0
2000,Canada,2021A11124,"Per capita income, one-parent families",Dollars,81,units,0,v21187322,1.14,12700,,,t,0
2000,Canada,2021A11124,Total persons in families,Number,223,units,0,v21187323,1.15,25017950,,,,0
2000,Canada,2021A11124,Persons in couple families,Number,223,units,0,v21187324,1.16,21605030,,,,0
2000,Canada,2021A11124,Persons in one-parent families,Number,223,units,0,v21187325,1.17,3412920,,,,0
2000,Canada,2021A11124,Persons not in census families,Number,223,units,0,v21187326,1.18,4873340,,,,0
2000,Canada,2021A11124,"Median total income, persons not in census families",Dollars,81,units,0,v21187327,1.19,18600,,,t,0
2000,Canada,2021A11124,"Per capita income, persons not in census families",Dollars,81,units,0,v21187328,1.20,26800,,,t,0
2000,Canada,2021A11124,Families with employment income,Number,223,units,0,v21187329,1.21,6995500,,,,0
2000,Canada,2021A11124,Median employment income of families,Dollars,81,units,0,v21187330,1.22,48600,,,,0
2000,Canada,2021A11124,Persons not in census families with employment income,Number,223,units,0,v21187331,1.23,2905480,,,,0
2000,Canada,2021A11124,Median employment income of persons not in census families,Dollars,81,units,0,v21187332,1.24,21200,,,,0
2000,Canada,2021A11124,Dual-earner couple families,Number,223,units,0,v21187333,1.25,4130610,,,,0
2000,Canada,2021A11124,Median employment income of dual-earner couple families,Dollars,81,units,0,v21187334,1.26,62500,,,,0
2000,Canada,2021A11124,Single-earner-male couple families,Number,223,units,0,v21187335,1.27,1167260,,,,0
2000,Canada,2021A11124,Median employment income of single-earner-male couple families,Dollars,81,units,0,v21187336,1.28,30100,,,,0
2000,Canada,2021A11124,Single-earner-female couple families,Number,223,units,0,v21187337,1.29,425960,,,,0
2000,Canada,2021A11124,Median employment income of single-earner-female couple families,Dollars,81,units,0,v21187338,1.30,16900,,,,0
2000,Canada,2021A11124,Families with government transfers,Number,223,units,0,v21187339,1.31,6947880,,,,0
2000,Canada,2021A11124,Average government transfers to families,Dollars,81,units,0,v21187340,1.32,7700,,,t,0
2000,Canada,2021A11124,Persons not in census families with government transfers,Number,223,units,0,v21187341,1.33,3991590,,,,0
2000,Canada,2021A11124,Average government transfers to persons not in census families,Dollars,81,units,0,v21187342,1.34,6400,,,t,0
2000,Canada,2021A11124,Families with labour income,Number,223,units,0,v21187343,1.35,7019610,,,,0
2000,Canada,2021A11124,Families receiving Employment Insurance benefits,Number,223,units,0,v21187344,1.36,1534760,,,,0
2000,Canada,2021A11124,Average Employment Insurance benefits received by families,Dollars,81,units,0,v21187345,1.37,4900,,,t,0
2000,Canada,2021A11124,Persons not in census families with labour income,Number,223,units,0,v21187346,1.38,2923920,,,,0
2000,Canada,2021A11124,Persons not in census families receiving Employment Insurance benefits,Number,223,units,0,v21187347,1.39,389450,,,,0
2000,Canada,2021A11124,Average Employment Insurance benefits received by persons not in census families,Dollars,81,units,0,v21187348,1.40,4200,,,t,0
2000,Ontario,2021A000235,All tax filers,Number,223,units,0,v21187909,16.1,8393800,,,,0
2000,Ontario,2021A000235,"All tax filers and dependants, all age groups",Number,223,units,0,v21187910,16.2,11331080,,,,0
2000,Ontario,2021A000235,"Tax filers and dependants, under age 15 years",Number,223,units,0,v21187911,16.3,2252680,,,,0
2000,Ontario,2021A000235,Tax filers and dependants aged 15 to 64 years,Number,223,units,0,v21187912,16.4,7634220,,,,0
2000,Ontario,2021A000235,Tax filers and dependants aged 65 years and over,Number,223,units,0,v21187913,16.5,1444180,,,,0
2000,Ontario,2021A000235,All families,Number,223,units,0,v21187914,16.6,3217670,,,,0
2000,Ontario,2021A000235,Couple families,Number,223,units,0,v21187915,16.7,2725440,,,,0
2000,Ontario,2021A000235,One-parent families,Number,223,units,0,v21187916,16.8,492220,,,,0
2000,Ontario,2021A000235,"Median total income, all families",Dollars,81,units,0,v21187917,16.9,55700,,,,0
2000,Ontario,2021A000235,"Per capita income, all families",Dollars,81,units,0,v21187918,16.10,24100,,,t,0
2000,Ontario,2021A000235,"Median total income, couple families",Dollars,81,units,0,v21187919,16.11,61800,,,,0
2000,Ontario,2021A000235,"Per capita income, couple families",Dollars,81,units,0,v21187920,16.12,25700,,,t,0
2000,Ontario,2021A000235,"Median total income, one-parent families",Dollars,81,units,0,v21187921,16.13,27200,,,,0
2000,Ontario,2021A000235,"Per capita income, one-parent families",Dollars,81,units,0,v21187922,16.14,13900,,,t,0
2000,Ontario,2021A000235,Total persons in families,Number,223,units,0,v21187923,16.15,9602290,,,,0
2000,Ontario,2021A000235,Persons in couple families,Number,223,units,0,v21187924,16.16,8327010,,,,0
2000,Ontario,2021A000235,Persons in one-parent families,Number,223,units,0,v21187925,16.17,1275280,,,,0
2000,Ontario,2021A000235,Persons not in census families,Number,223,units,0,v21187926,16.18,1728800,,,,0
2000,Ontario,2021A000235,"Median total income, persons not in census families",Dollars,81,units,0,v21187927,16.19,20900,,,t,0
2000,Ontario,2021A000235,"Per capita income, persons not in census families",Dollars,81,units,0,v21187928,16.20,29800,,,t,0
2000,Ontario,2021A000235,Families with employment income,Number,223,units,0,v21187929,16.21,2669650,,,,0
2000,Ontario,2021A000235,Median employment income of families,Dollars,81,units,0,v21187930,16.22,54200,,,,0
2000,Ontario,2021A000235,Persons not in census families with employment income,Number,223,units,0,v21187931,16.23,1036620,,,,0
2000,Ontario,2021A000235,Median employment income of persons not in census families,Dollars,81,units,0,v21187932,16.24,23600,,,,0
2000,Ontario,2021A000235,Dual-earner couple families,Number,223,units,0,v21187933,16.25,1566030,,,,0
2000,Ontario,2021A000235,Median employment income of dual-earner couple families,Dollars,81,units,0,v21187934,16.26,69300,,,,0
2000,Ontario,2021A000235,Single-earner-male couple families,Number,223,units,0,v21187935,16.27,453310,,,,0
2000,Ontario,2021A000235,Median employment income of single-earner-male couple families,Dollars,81,units,0,v21187936,16.28,32700,,,,0
2000,Ontario,2021A000235,Single-earner-female couple families,Number,223,units,0,v21187937,16.29,170000,,,,0
2000,Ontario,2021A000235,Median employment income of single-earner-female couple families,Dollars,81,units,0,v21187938,16.30,19200,,,,0
2000,Ontario,2021A000235,Families with government transfers,Number,223,units,0,v21187939,16.31,2564030,,,,0
2000,Ontario,2021A000235,Average government transfers to families,Dollars,81,units,0,v21187940,16.32,7600,,,t,0
2000,Ontario,2021A000235,Persons not in census families with government transfers,Number,223,units,0,v21187941,16.33,1357390,,,,0
2000,Ontario,2021A000235,Average government transfers to persons not in census families,Dollars,81,units,0,v21187942,16.34,6800,,,t,0
2000,Ontario,2021A000235,Families with labour income,Number,223,units,0,v21187943,16.35,2675770,,,,0
2000,Ontario,2021A000235,Families receiving Employment Insurance benefits,Number,223,units,0,v21187944,16.36,433450,,,,0
2000,Ontario,2021A000235,Average Employment Insurance benefits received by families,Dollars,81,units,0,v21187945,16.37,4500,,,t,0
2000,Ontario,2021A000235,Persons not in census families with labour income,Number,223,units,0,v21187946,16.38,1041230,,,,0
2000,Ontario,2021A000235,Persons not in census families receiving Employment Insurance benefits,Number,223,units,0,v21187947,16.39,90900,,,,0
2000,Ontario,2021A000235,Average Employment Insurance benefits received by persons not in census families,Dollars,81,units,0,v21187948,16.40,4000,,,t,0
2000,"Oshawa, Ontario",2016S0503532,All tax filers,Number,223,units,0,v21187989,18.1,206070,,,,0
2000,"Oshawa, Ontario",2016S0503532,"All tax filers and dependants, all age groups",Number,223,units,0,v21187990,18.2,290180,,,,0
2000,"Oshawa, Ontario",2016S0503532,"Tax filers and dependants, under age 15 years",Number,223,units,0,v21187991,18.3,65880,,,,0
2000,"Oshawa, Ontario",2016S0503532,Tax filers and dependants aged 15 to 64 years,Number,223,units,0,v21187992,18.4,193850,,,,0
2000,"Oshawa, Ontario",2016S0503532,Tax filers and dependants aged 65 years and over,Number,223,units,0,v21187993,18.5,30450,,,,0
2000,"Oshawa, Ontario",2016S0503532,All families,Number,223,units,0,v21187994,18.6,83460,,,,0
2000,"Oshawa, Ontario",2016S0503532,Couple families,Number,223,units,0,v21187995,18.7,70130,,,,0
2000,"Oshawa, Ontario",2016S0503532,One-parent families,Number,223,units,0,v21187996,18.8,13330,,,,0
2000,"Oshawa, Ontario",2016S0503532,"Median total income, all families",Dollars,81,units,0,v21187997,18.9,64800,,,,0
2000,"Oshawa, Ontario",2016S0503532,"Per capita income, all families",Dollars,81,units,0,v21187998,18.10,23900,,,t,0
2000,"Oshawa, Ontario",2016S0503532,"Median total income, couple families",Dollars,81,units,0,v21187999,18.11,71800,,,,0
