REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2001,Canada,2021A00001124,Persons,249,units,0,v1592180531,1,31020855,,,,0
2001,Ontario,2021A000235,Persons,249,units,0,v1592180537,2130,11897473,,,,0
2001,"Toronto (C), Ontario",2021A00053520005,Persons,249,units,0,v1592182773,2132,2583704,,,,0
2001,"Mississauga (CY), Ontario",2021A00053521005,Persons,249,units,0,v1592182774,2134,638334,,,,0
2001,"Brampton (CY), Ontario",2021A00053521010,Persons,249,units,0,v1592182775,2135,341463,,,,0
2001,"Markham (CY), Ontario",2021A00053519036,Persons,249,units,0,v1592182764,2138,218268,,,,0
2001,"Vaughan (CY), Ontario",2021A00053519028,Persons,249,units,0,v1592182763,2139,191304,,,,0
2001,"Oakville (T), Ontario",2021A00053524001,Persons,249,units,0,v1592182793,2142,150717,,,,0
2001,"Richmond Hill (T), Ontario",2021A00053519038,Persons,249,units,0,v1592182765,2143,138233,,,,0
2001,"Burlington (CY), Ontario",2021A00053524002,Persons,249,units,0,v1592182794,2144,156873,,,,0
2001,"Oshawa (CY), Ontario",2021A00053518013,Persons,249,units,0,v1592182757,2145,144619,,,,0
2001,"Whitby (T), Ontario",2021A00053518009,Persons,249,units,0,v1592182756,2149,91396,,,,0
2001,"Milton (T), Ontario",2021A00053524009,Persons,249,units,0,v1592182795,2152,33162,,,,0
2001,"Ajax (T), Ontario",2021A00053518005,Persons,249,units,0,v1592182755,2154,77080,,,,0
2001,"Clarington (MU), Ontario",2021A00053518017,Persons,249,units,0,v1592182758,2159,72765,,,,0
2001,"Pickering (CY), Ontario",2021A00053518001,Persons,249,units,0,v1592182754,2160,90552,,,,0
2001,"Newmarket (T), Ontario",2021A00053519048,Persons,249,units,0,v1592182768,2162,68688,,,,0
2001,"Caledon (T), Ontario",2021A00053521024,Persons,249,units,0,v1592182776,2165,52639,,,,0
2001,"Halton Hills (T), Ontario",2021A00053524015,Persons,249,units,0,v1592182796,2169,50268,,,,0
2001,"Aurora (T), Ontario",2021A00053519046,Persons,249,units,0,v1592182767,2170,41923,,,,0
2001,"Whitchurch-Stouffville (T), Ontario",2021A00053519044,Persons,249,units,0,v1592182766,2174,22892,,,,0
2001,"Georgina (T), Ontario",2021A00053519070,Persons,249,units,0,v1592182771,2177,40919,,,,0
2001,"East Gwillimbury (T), Ontario",2021A00053519054,Persons,249,units,0,v1592182770,2187,21357,,,,0
2001,"King (TP), Ontario",2021A00053519049,Persons,249,units,0,v1592182769,2196,19229,,,,0
2001,"Scugog (TP), Ontario",2021A00053518020,Persons,249,units,0,v1592182759,2212,20909,,,,0
