REF_DATE,GEO,DGUID,Household size (7),Household type including census family structure  (11),Coordinate,Household income statistics (6):Number of households (2021)[1],Symbol,Household income statistics (6):Number of households (2016)[2],Symbol,Household income statistics (6):Median household total income (2020) (2020 constant dollars)[3],Symbol,Household income statistics (6):Median household total income (2015) (2020 constant dollars)[4],Symbol,Household income statistics (6):Median household after-tax income (2020) (2020 constant dollars)[5],Symbol,Household income statistics (6):Median household after-tax income (2015) (2020 constant dollars)[6],Symbol
2021,Canada,2021A000011124,Total - Households by household size,Total – Household type including census family structure,1.1.1,14978940,,14072075,,84000,,76000,,73000,,66500,
2021,Canada,2021A000011124,Total - Households by household size,Census-family households,1.1.2,9919095,,9519940,,107000,,98000,,93000,,84000,
2021,Canada,2021A000011124,Total - Households by household size,Households consisting of only one census family without additional persons,1.1.3,8932695,,8605750,,104000,,95000,,90000,,82000,
2021,Canada,2021A000011124,Total - Households by household size,"One couple, with or without children in their census family",1.1.4,7627195,,7355560,,111000,,103000,,96000,,88000,
2021,Canada,2021A000011124,Total - Households by household size,Without children,1.1.5,3837400,,3627180,,91000,,86000,,79500,,74000,
2021,Canada,2021A000011124,Total - Households by household size,With children,1.1.6,3789795,,3728380,,134000,,122000,,114000,,103000,
2021,Canada,2021A000011124,Total - Households by household size,One one-parent census family,1.1.7,1305500,,1250190,,68000,,56400,,62000,,52000,
2021,Canada,2021A000011124,Total - Households by household size,With a parent that is a man+,1.1.8,282845,,265385,,78000,,71000,,68000,,61200,
2021,Canada,2021A000011124,Total - Households by household size,With a parent that is a woman+,1.1.9,1022655,,984800,,65500,,53600,,60800,,50000,
2021,Canada,2021A000011124,Total - Households by household size,Other census family households,1.1.10,986400,,914195,,140000,,120000,,125000,,107000,
2021,Canada,2021A000011124,Total - Households by household size,Non-census family households,1.1.11,5059850,,4552135,,45200,,41200,,40400,,36400,
2021,Canada,2021A000011124,1 person,Total – Household type including census family structure,1.2.1,4396015,,3969790,,41600,,38000,,37200,,34000,
2021,Canada,2021A000011124,1 person,Census-family households,1.2.2,0,,0,,0,...,0,...,0,...,0,...
2021,Canada,2021A000011124,1 person,Households consisting of only one census family without additional persons,1.2.3,0,,0,,0,...,0,...,0,...,0,...
2021,Canada,2021A000011124,1 person,"One couple, with or without children in their census family",1.2.4,0,,0,,0,...,0,...,0,...,0,...
2021,Canada,2021A000011124,1 person,Without children,1.2.5,0,,0,,0,...,0,...,0,...,0,...
2021,Canada,2021A000011124,1 person,With children,1.2.6,0,,0,,0,...,0,...,0,...,0,...
2021,Canada,2021A000011124,1 person,One one-parent census family,1.2.7,0,,0,,0,...,0,...,0,...,0,...
2021,Canada,2021A000011124,1 person,With a parent that is a man+,1.2.8,0,,0,,0,...,0,...,0,...,0,...
2021,Canada,2021A000011124,1 person,With a parent that is a woman+,1.2.9,0,,0,,0,...,0,...,0,...,0,...
2021,Canada,2021A000011124,1 person,Other census family households,1.2.10,0,,0,,0,...,0,...,0,...,0,...
2021,Canada,2021A000011124,1 person,Non-census family households,1.2.11,4396015,,3969790,,41600,,38000,,37200,,34000,
2021,Canada,2021A000011124,2 or more persons,Total – Household type including census family structure,1.3.1,10582930,,10102290,,105000,,95000,,91000,,83000,
2021,Canada,2021A000011124,2 or more persons,Census-family households,1.3.2,9919095,,9519940,,107000,,98000,,93000,,84000,
2021,Canada,2021A000011124,2 or more persons,Households consisting of only one census family without additional persons,1.3.3,8932695,,8605750,,104000,,95000,,90000,,82000,
2021,Canada,2021A000011124,2 or more persons,"One couple, with or without children in their census family",1.3.4,7627195,,7355560,,111000,,103000,,96000,,88000,
2021,Canada,2021A000011124,2 or more persons,Without children,1.3.5,3837400,,3627180,,91000,,86000,,79500,,74000,
2021,Canada,2021A000011124,2 or more persons,With children,1.3.6,3789795,,3728380,,134000,,122000,,114000,,103000,
