REF_DATE,GEO,DGUID,Residence on or off reserve (3),Household type including census family structure (9),Statistics (3C),Shelter-cost-to-income ratio (5),Coordinate,Tenure including presence of mortgage payments and subsidized housing (8):Total - Tenure including presence of mortgage payments and subsidized housing[1],Symbol,Tenure including presence of mortgage payments and subsidized housing (8):Owner[2],Symbol,Tenure including presence of mortgage payments and subsidized housing (8):With mortgage[3],Symbol,Tenure including presence of mortgage payments and subsidized housing (8):Without mortgage[4],Symbol,Tenure including presence of mortgage payments and subsidized housing (8):Renter[5],Symbol,Tenure including presence of mortgage payments and subsidized housing (8):Subsidized housing[6],Symbol,Tenure including presence of mortgage payments and subsidized housing (8):Not subsidized housing[7],Symbol,"Tenure including presence of mortgage payments and subsidized housing (8):Dwelling provided by the local government, First Nation or Indian band[8]",Symbol
2021,Canada,2021A000011124,Total - Residence on or off reserve,Total - Household type including family structure,Number of private households,Total - Shelter-cost-to-income ratio,1.1.1.1.1,14864075,,9846970,,5893925,,3953045,,4947975,,581300,,4366675,,69130,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Total - Household type including family structure,Number of private households,Spending less than 30% of income on shelter costs,1.1.1.1.2,11721490,,8373380,,4654080,,3719295,,3283545,,415705,,2867840,,64565,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Total - Household type including family structure,Number of private households,Spending 30% or more of income on shelter costs,1.1.1.1.3,3084660,,1453140,,1229030,,224110,,1627445,,163030,,1464415,,4075,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Total - Household type including family structure,Number of private households,30% to less than 100%,1.1.1.1.4,2750500,,1295400,,1103450,,191945,,1452235,,150670,,1301565,,2870,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Total - Household type including family structure,Number of private households,Not applicable,1.1.1.1.5,57920,,20445,,10815,,9630,,36985,,2575,,34420,,490,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Total - Household type including family structure,Confidence interval lower bound of number of private households,Total - Shelter-cost-to-income ratio,1.1.1.2.1,14863199,,9843263,,5888499,,3947010,,4944218,,578922,,4362898,,68906,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Total - Household type including family structure,Confidence interval lower bound of number of private households,Spending less than 30% of income on shelter costs,1.1.1.2.2,11717702,,8368737,,4649479,,3713301,,3279199,,413592,,2863942,,64351,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Total - Household type including family structure,Confidence interval lower bound of number of private households,Spending 30% or more of income on shelter costs,1.1.1.2.3,3080802,,1449173,,1225450,,222385,,1624169,,161631,,1461312,,3974,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Total - Household type including family structure,Confidence interval lower bound of number of private households,30% to less than 100%,1.1.1.2.4,2746643,,1291190,,1099800,,190231,,1449132,,149281,,1298564,,2770,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Total - Household type including family structure,Confidence interval lower bound of number of private households,Not applicable,1.1.1.2.5,57141,,19902,,10435,,9212,,36449,,2379,,33864,,451,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Total - Household type including family structure,Confidence interval upper bound of number of private households,Total - Shelter-cost-to-income ratio,1.1.1.3.1,14864951,,9850678,,5899356,,3959089,,4951735,,583688,,4370455,,69354,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Total - Household type including family structure,Confidence interval upper bound of number of private households,Spending less than 30% of income on shelter costs,1.1.1.3.2,11725279,,8378025,,4658686,,3725299,,3287897,,417829,,2871743,,64779,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Total - Household type including family structure,Confidence interval upper bound of number of private households,Spending 30% or more of income on shelter costs,1.1.1.3.3,3088522,,1457117,,1232620,,225848,,1630728,,164442,,1467525,,4178,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Total - Household type including family structure,Confidence interval upper bound of number of private households,30% to less than 100%,1.1.1.3.4,2754363,,1299623,,1107112,,193674,,1455345,,152072,,1304573,,2974,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Total - Household type including family structure,Confidence interval upper bound of number of private households,Not applicable,1.1.1.3.5,58710,,21002,,11209,,10067,,37529,,2787,,34985,,532,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Census-family households,Number of private households,Total - Shelter-cost-to-income ratio,1.1.2.1.1,9818460,,7451765,,4726965,,2724800,,2314470,,219850,,2094620,,52225,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Census-family households,Number of private households,Spending less than 30% of income on shelter costs,1.1.2.1.2,8459170,,6624415,,3961335,,2663080,,1784595,,184775,,1599820,,50160,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Census-family households,Number of private households,Spending 30% or more of income on shelter costs,1.1.2.1.3,1342860,,821165,,761870,,59290,,519775,,34605,,485165,,1925,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Census-family households,Number of private households,30% to less than 100%,1.1.2.1.4,1233315,,755800,,704420,,51380,,475990,,32270,,443720,,1525,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Census-family households,Number of private households,Not applicable,1.1.2.1.5,16430,,6185,,3760,,2430,,10105,,470,,9635,,140,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Census-family households,Confidence interval lower bound of number of private households,Total - Shelter-cost-to-income ratio,1.1.2.2.1,9816892,,7447224,,4721499,,2719662,,2310593,,218530,,2090794,,52022,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Census-family households,Confidence interval lower bound of number of private households,Spending less than 30% of income on shelter costs,1.1.2.2.2,8455189,,6619223,,3956531,,2657677,,1781542,,183496,,1596951,,49936,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Census-family households,Confidence interval lower bound of number of private households,Spending 30% or more of income on shelter costs,1.1.2.2.3,1339087,,818328,,759227,,58421,,517124,,33879,,482636,,1826,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Census-family households,Confidence interval lower bound of number of private households,30% to less than 100%,1.1.2.2.4,1229552,,752700,,701584,,50552,,473511,,31635,,441272,,1446,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Census-family households,Confidence interval lower bound of number of private households,Not applicable,1.1.2.2.5,16018,,5945,,3620,,2244,,9755,,404,,9295,,121,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Census-family households,Confidence interval upper bound of number of private households,Total - Shelter-cost-to-income ratio,1.1.2.3.1,9820029,,7456309,,4732437,,2729948,,2318354,,221178,,2098453,,52429,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Census-family households,Confidence interval upper bound of number of private households,Spending less than 30% of income on shelter costs,1.1.2.3.2,8463153,,6629611,,3966145,,2668494,,1787653,,186063,,1602695,,50385,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Census-family households,Confidence interval upper bound of number of private households,Spending 30% or more of income on shelter costs,1.1.2.3.3,1346644,,824011,,764523,,60172,,522440,,35346,,487708,,2030,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Census-family households,Confidence interval upper bound of number of private households,30% to less than 100%,1.1.2.3.4,1237089,,758913,,707267,,52222,,478482,,32918,,446181,,1609,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Census-family households,Confidence interval upper bound of number of private households,Not applicable,1.1.2.3.5,16853,,6434,,3905,,2631,,10468,,547,,9988,,162,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One-census-family households without additional person,Number of private households,Total - Shelter-cost-to-income ratio,1.1.3.1.1,8837650,,6720230,,4179460,,2540770,,2081340,,201550,,1879785,,36080,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One-census-family households without additional person,Number of private households,Spending less than 30% of income on shelter costs,1.1.3.1.2,7593885,,5972995,,3491870,,2481130,,1586525,,168220,,1418305,,34365,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One-census-family households without additional person,Number of private households,Spending 30% or more of income on shelter costs,1.1.3.1.3,1227865,,741360,,684015,,57345,,484905,,32870,,452035,,1595,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One-census-family households without additional person,Number of private households,30% to less than 100%,1.1.3.1.4,1124365,,680110,,630460,,49655,,443015,,30640,,412370,,1240,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One-census-family households without additional person,Number of private households,Not applicable,1.1.3.1.5,15900,,5875,,3580,,2295,,9900,,460,,9440,,120,
