csd_code,municipality,region,year,survey_month,bedroom_type,avg_monthly_rent,quality_flag,quality_level,source_table
3518005,Ajax,Durham,1990,October,1 Bedroom,452.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1990,October,2 Bedroom,638.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1990,October,3 Bedroom,748.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1990,October,Total,648.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1991,October,1 Bedroom,514.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1991,October,2 Bedroom,697.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1991,October,3 Bedroom,816.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1991,October,Total,709.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1992,October,1 Bedroom,539.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1992,October,2 Bedroom,721.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1992,October,3 Bedroom,838.0,b,Very good,rent_history_3518005_ajax
3518005,Ajax,Durham,1992,October,Total,728.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1993,October,1 Bedroom,585.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1993,October,2 Bedroom,741.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1993,October,3 Bedroom,882.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1993,October,Total,761.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1994,October,1 Bedroom,594.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1994,October,2 Bedroom,764.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1994,October,3 Bedroom,848.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1994,October,Total,769.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1995,October,1 Bedroom,552.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1995,October,2 Bedroom,756.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1995,October,3 Bedroom,820.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1995,October,Total,755.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1996,October,1 Bedroom,576.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1996,October,2 Bedroom,771.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1996,October,3 Bedroom,854.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1996,October,Total,775.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1997,October,1 Bedroom,575.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1997,October,2 Bedroom,761.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1997,October,3 Bedroom,851.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1997,October,Total,769.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1998,October,1 Bedroom,633.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1998,October,2 Bedroom,798.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1998,October,3 Bedroom,886.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1998,October,Total,812.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1999,October,1 Bedroom,575.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1999,October,2 Bedroom,800.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1999,October,3 Bedroom,894.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,1999,October,Total,802.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2000,October,1 Bedroom,676.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2000,October,2 Bedroom,860.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2000,October,3 Bedroom,945.0,a,Excellent,rent_history_3518005_ajax
