municipality,region,rent_2br_2025,income_needed_2br_2025,median_hh_income_2025_est,income_needed_pct_of_median_2025,income_gap_2br_2025
Newmarket,York,2384.0,95400.0,131400.0,72.6,-36000.0
Oakville,Halton,2309.0,92400.0,153000.0,60.4,-60600.0
Aurora,York,2187.0,87500.0,142200.0,61.5,-54700.0
Toronto,Toronto,2055.0,82200.0,100400.0,81.9,-18200.0
Burlington,Halton,2050.0,82000.0,131400.0,62.4,-49400.0
Brampton,Peel,2025.0,81000.0,132600.0,61.1,-51600.0
Mississauga,Peel,2001.0,80000.0,121900.0,65.7,-41900.0
Markham,York,1996.0,79800.0,124300.0,64.2,-44500.0
Richmond Hill,York,1827.0,73100.0,121900.0,60.0,-48800.0
Milton,Halton,1801.0,72000.0,150600.0,47.8,-78600.0
Clarington,Durham,1788.0,71500.0,133800.0,53.5,-62300.0
Oshawa,Durham,1780.0,71200.0,102800.0,69.3,-31600.0
Ajax,Durham,1727.0,69100.0,142200.0,48.6,-73100.0
Whitby,Durham,1673.0,66900.0,147000.0,45.5,-80100.0
Halton Hills,Halton,1531.0,61200.0,151800.0,40.3,-90600.0
Scugog,Durham,1452.0,58100.0,129100.0,45.0,-71000.0
Brock,Durham,1296.0,51800.0,109900.0,47.2,-58100.0
