municipality,region,renter_households_2021,renter_share_2021_pct,renters_30_plus_2021_pct,rti_2br_2025_est_pct,affordability_band_at_median_income_2025
Richmond Hill,York,15105.0,21.8,51.2,18.0,Affordable (<30%)
Vaughan,York,14615.0,14.1,50.4,,No published rent
Markham,York,20310.0,18.3,47.8,19.3,Affordable (<30%)
Oakville,Halton,16530.0,22.5,45.8,18.1,Affordable (<30%)
Burlington,Halton,18225.0,24.9,44.9,18.7,Affordable (<30%)
Aurora,York,4030.0,18.7,44.1,18.5,Affordable (<30%)
East Gwillimbury,York,1805.0,15.8,44.0,,No published rent
Whitchurch-Stouffville,York,2005.0,12.0,43.3,,No published rent
Oshawa,Durham,23870.0,35.8,42.7,20.8,Affordable (<30%)
Uxbridge,Durham,1255.0,16.1,41.8,,No published rent
Milton,Halton,6950.0,17.4,41.6,14.4,Affordable (<30%)
Clarington,Durham,5135.0,14.4,40.6,16.0,Affordable (<30%)
Georgina,York,3335.0,18.7,40.5,,No published rent
Caledon,Peel,2500.0,10.6,40.4,,No published rent
Halton Hills,Halton,3210.0,14.7,40.3,12.1,Affordable (<30%)
Toronto,Toronto,557970.0,48.1,40.0,24.6,Affordable (<30%)
Newmarket,York,7350.0,24.3,39.5,21.8,Affordable (<30%)
Whitby,Durham,8335.0,17.9,39.5,13.7,Affordable (<30%)
Mississauga,Peel,72350.0,29.6,39.1,19.7,Affordable (<30%)
Pickering,Durham,4950.0,14.8,38.4,,No published rent
King,York,1045.0,11.8,37.9,,No published rent
Ajax,Durham,6530.0,16.5,37.8,14.6,Affordable (<30%)
Scugog,Durham,1055.0,13.2,37.5,13.5,Affordable (<30%)
Brampton,Peel,39990.0,21.9,37.0,18.3,Affordable (<30%)
Brock,Durham,870.0,18.7,31.6,14.2,Affordable (<30%)
