municipality,region,real_rent_2br_growth_2015_2020_pct,real_income_growth_2015_2020_pct,rent_minus_income_pts,verdict
Georgina,York,28.7,11.4,17.3,Rent grew faster
Oakville,Halton,18.3,4.1,14.2,Rent grew faster
Newmarket,York,19.1,6.8,12.3,Rent grew faster
Burlington,Halton,17.3,8.9,8.4,Rent grew faster
Markham,York,16.4,8.3,8.1,Rent grew faster
Oshawa,Durham,21.0,13.2,7.8,Rent grew faster
Clarington,Durham,13.3,7.7,5.6,Rent grew faster
Aurora,York,8.7,3.5,5.2,Rent grew faster
Whitby,Durham,14.1,9.8,4.3,Rent grew faster
Richmond Hill,York,8.3,6.3,2.0,Rent grew faster
Mississauga,Peel,14.4,13.3,1.1,Rent grew faster
Ajax,Durham,13.9,13.3,0.6,Rent grew faster
Toronto,Toronto,17.0,18.3,-1.3,Income grew faster
Uxbridge,Durham,7.0,9.3,-2.3,Income grew faster
Milton,Halton,8.2,11.5,-3.3,Income grew faster
Brampton,Peel,14.4,18.1,-3.7,Income grew faster
Halton Hills,Halton,6.3,10.4,-4.1,Income grew faster
Brock,Durham,11.5,16.5,-5.0,Income grew faster
Scugog,Durham,4.1,10.2,-6.1,Income grew faster
