municipality,region,rent_2br_2020,rent_2br_2025,rent_2br_cagr_2020_2025_pct,rent_2br_cagr_2015_2025_pct,cpi_inflation_2020_2025_pct
Newmarket,York,1527.0,2384.0,9.3,7.3,3.6
Aurora,York,1543.0,2187.0,7.2,5.3,3.6
Scugog,Durham,1064.0,1452.0,6.4,4.5,3.6
Clarington,Durham,1327.0,1788.0,6.1,5.3,3.6
Brampton,Peel,1515.0,2025.0,6.0,5.3,3.6
Oakville,Halton,1746.0,2309.0,5.7,5.5,3.6
Oshawa,Durham,1360.0,1780.0,5.5,5.6,3.6
Mississauga,Peel,1554.0,2001.0,5.2,4.9,3.6
Brock,Durham,1007.0,1296.0,5.2,4.6,3.6
Milton,Halton,1402.0,1801.0,5.1,4.3,3.6
Ajax,Durham,1362.0,1727.0,4.9,4.7,3.6
Burlington,Halton,1623.0,2050.0,4.8,4.9,3.6
Whitby,Durham,1330.0,1673.0,4.7,4.6,3.6
Markham,York,1600.0,1996.0,4.5,4.7,3.6
Toronto,Toronto,1664.0,2055.0,4.3,4.7,3.6
Halton Hills,Halton,1303.0,1531.0,3.3,3.2,3.6
Richmond Hill,York,1597.0,1827.0,2.7,3.1,3.6
