municipality,region,vacancy_total_2025_pct,market,rent_2br_cagr_2020_2025_pct,rent_2br_2025
Brock,Durham,0.0,Tight (<3%),5.2,1296.0
Clarington,Durham,1.6,Tight (<3%),6.1,1788.0
Burlington,Halton,2.0,Tight (<3%),4.8,2050.0
Ajax,Durham,2.0,Tight (<3%),4.9,1727.0
Richmond Hill,York,2.4,Tight (<3%),2.7,1827.0
Whitby,Durham,2.5,Tight (<3%),4.7,1673.0
Aurora,York,2.7,Tight (<3%),7.2,2187.0
Toronto,Toronto,2.8,Tight (<3%),4.3,2055.0
Milton,Halton,3.2,Balanced or loose (3%+),5.1,1801.0
Oakville,Halton,3.3,Balanced or loose (3%+),5.7,2309.0
Mississauga,Peel,3.8,Balanced or loose (3%+),5.2,2001.0
Oshawa,Durham,4.0,Balanced or loose (3%+),5.5,1780.0
Brampton,Peel,4.3,Balanced or loose (3%+),6.0,2025.0
