year,all_items_cpi,rent_cpi
1974,25.27,
1980,42.23,
1987,67.52,
1993,84.29,
2004,104.69,
2007,110.45,
2011,119.99,
1976,30.04,
1986,63.94,
1997,89.49,
2001,97.96,
2003,103.04,
2009,113.64,
2016,130.96,
1983,56.08,
1991,82.23,
1994,84.38,
1999,92.21,
2012,121.83,
2020,140.31,
1973,22.88,
1982,52.86,
1989,75.4,
1990,78.93,
2000,95.01,
2010,116.48,
2014,126.38,
2015,128.34,
2018,137.09,
2023,160.15,
2025,167.67,
1978,35.08,
1979,38.36,
1984,58.74,
1985,61.04,
1995,86.46,
1998,90.43,
2021,144.29,
1975,27.99,
1977,32.33,
2006,108.38,
2008,113.13,
1971,20.21,
1992,82.97,
1996,87.9,
2002,100.0,
2024,164.69,
1972,21.23,
1981,47.53,
1988,70.93,
2005,106.65,
2013,123.27,
2017,133.68,
2019,139.86,
2022,153.74,
