csd_code,municipality,region,region_code,cma
3520005,Toronto,Toronto,3520,Toronto
3521005,Mississauga,Peel,3521,Toronto
3521010,Brampton,Peel,3521,Toronto
3521024,Caledon,Peel,3521,Toronto
3519036,Markham,York,3519,Toronto
3519028,Vaughan,York,3519,Toronto
3519038,Richmond Hill,York,3519,Toronto
3519048,Newmarket,York,3519,Toronto
3519046,Aurora,York,3519,Toronto
3519054,East Gwillimbury,York,3519,Toronto
3519070,Georgina,York,3519,Toronto
3519049,King,York,3519,Toronto
3519044,Whitchurch-Stouffville,York,3519,Toronto
3518013,Oshawa,Durham,3518,Oshawa
3518009,Whitby,Durham,3518,Oshawa
3518005,Ajax,Durham,3518,Toronto
3518001,Pickering,Durham,3518,Toronto
3518017,Clarington,Durham,3518,Oshawa
3518020,Scugog,Durham,3518,
3518029,Uxbridge,Durham,3518,Toronto
3518039,Brock,Durham,3518,
3524002,Burlington,Halton,3524,Hamilton
3524001,Oakville,Halton,3524,Toronto
3524009,Milton,Halton,3524,Toronto
3524015,Halton Hills,Halton,3524,Toronto
