csd_code,municipality,region,cma,population_2025,households_2021,renter_households_2021,renter_share_2021_pct,median_hh_income_2020,median_hh_income_2025_est,rent_2br_2025,rent_2br_2025_quality,rent_1br_2025,rent_total_2025,rent_2br_2020,rti_2br_2020_pct,rti_2br_2025_est_pct,rti_total_2025_est_pct,income_needed_2br_2025,income_gap_2br_2025,income_needed_pct_of_median_2025,affordability_band_at_median_income_2025,renters_30_plus_2021_pct,vacancy_total_2025_pct,vacancy_2br_2025_pct,rent_2br_cagr_2015_2025_pct,rent_2br_cagr_2020_2025_pct,real_rent_2br_growth_2015_2020_pct,real_income_growth_2015_2020_pct,rent_coverage_2025
3524002,Burlington,Halton,Hamilton,197737,73180,18225.0,24.9,110000.0,131400.0,2050.0,a,1744.0,1977.0,1623.0,17.7,18.7,18.1,82000.0,-49400.0,62.4,Affordable (<30%),44.9,2.0,1.8,4.9,4.8,17.3,8.9,Full
3518020,Scugog,Durham,,23928,8240,1055.0,13.2,108000.0,129100.0,1452.0,c,1117.0,1436.0,1064.0,11.8,13.5,13.3,58100.0,-71000.0,45.0,Affordable (<30%),37.5,,,4.5,6.4,4.1,10.2,Full
3518005,Ajax,Durham,Toronto,141111,39490,6530.0,16.5,119000.0,142200.0,1727.0,a,1216.0,1740.0,1362.0,13.7,14.6,14.7,69100.0,-73100.0,48.6,Affordable (<30%),37.8,2.0,2.4,4.7,4.9,13.9,13.3,Full
3524001,Oakville,Halton,Toronto,243107,73560,16530.0,22.5,128000.0,153000.0,2309.0,b,1915.0,2192.0,1746.0,16.4,18.1,17.2,92400.0,-60600.0,60.4,Affordable (<30%),45.8,3.3,4.1,5.5,5.7,18.3,4.1,Full
3521010,Brampton,Peel,Toronto,777759,182470,39990.0,21.9,111000.0,132600.0,2025.0,a,1778.0,1935.0,1515.0,16.4,18.3,17.5,81000.0,-51600.0,61.1,Affordable (<30%),37.0,4.3,4.6,5.3,6.0,14.4,18.1,Full
3518001,Pickering,Durham,Toronto,118378,33425,4950.0,14.8,118000.0,141000.0,,,,1826.0,,,,15.5,,,,No published rent,38.4,,,,,,9.3,Total rent only (2-bedroom suppressed)
3518039,Brock,Durham,,13710,4785,870.0,18.7,92000.0,109900.0,1296.0,a,1030.0,1222.0,1007.0,13.1,14.2,13.3,51800.0,-58100.0,47.2,Affordable (<30%),31.6,0.0,0.0,4.6,5.2,11.5,16.5,Full
3519038,Richmond Hill,York,Toronto,222031,69315,15105.0,21.8,102000.0,121900.0,1827.0,a,1583.0,1726.0,1597.0,18.8,18.0,17.0,73100.0,-48800.0,60.0,Affordable (<30%),51.2,2.4,2.1,3.1,2.7,8.3,6.3,Full
3524009,Milton,Halton,Toronto,157345,40035,6950.0,17.4,126000.0,150600.0,1801.0,b,1670.0,1735.0,1402.0,13.4,14.4,13.8,72000.0,-78600.0,47.8,Affordable (<30%),41.6,3.2,1.8,4.3,5.1,8.2,11.5,Full
3521005,Mississauga,Peel,Toronto,764597,244575,72350.0,29.6,102000.0,121900.0,2001.0,a,1747.0,1917.0,1554.0,18.3,19.7,18.9,80000.0,-41900.0,65.7,Affordable (<30%),39.1,3.8,3.4,4.9,5.2,14.4,13.3,Full
3518017,Clarington,Durham,Oshawa,114180,35950,5135.0,14.4,112000.0,133800.0,1788.0,b,1608.0,1728.0,1327.0,14.2,16.0,15.5,71500.0,-62300.0,53.5,Affordable (<30%),40.6,1.6,,5.3,6.1,13.3,7.7,Full
3519048,Newmarket,York,Toronto,95763,30300,7350.0,24.3,110000.0,131400.0,2384.0,c,1951.0,2128.0,1527.0,16.7,21.8,19.4,95400.0,-36000.0,72.6,Affordable (<30%),39.5,,,7.3,9.3,19.1,6.8,Full
3519046,Aurora,York,Toronto,67385,21505,4030.0,18.7,119000.0,142200.0,2187.0,a,1853.0,2191.0,1543.0,15.6,18.5,18.5,87500.0,-54700.0,61.5,Affordable (<30%),44.1,2.7,2.8,5.3,7.2,8.7,3.5,Full
