csd_code,municipality,region,year,bedroom_type,avg_monthly_rent,quality_flag,quality_level,yoy_change_pct,rent_in_2025_dollars,rent_index_2015_100
3518001,Pickering,Durham,1990,3 Bedroom,940.0,a,Excellent,,1997.0,72.3
3518001,Pickering,Durham,1990,Total,928.0,a,Excellent,,1971.0,72.0
3518001,Pickering,Durham,1991,1 Bedroom,964.0,a,Excellent,,1966.0,
3518001,Pickering,Durham,1991,2 Bedroom,1010.0,a,Excellent,,2059.0,
3518001,Pickering,Durham,1991,3 Bedroom,940.0,a,Excellent,0.0,1917.0,72.3
3518001,Pickering,Durham,1991,Total,953.0,a,Excellent,2.7,1943.0,73.9
3518001,Pickering,Durham,1992,1 Bedroom,900.0,a,Excellent,-6.6,1819.0,
3518001,Pickering,Durham,1992,2 Bedroom,1033.0,a,Excellent,2.3,2088.0,
3518001,Pickering,Durham,1992,3 Bedroom,807.0,a,Excellent,-14.1,1631.0,62.1
3518001,Pickering,Durham,1992,Total,838.0,a,Excellent,-12.1,1693.0,65.0
3518001,Pickering,Durham,1993,1 Bedroom,885.0,a,Excellent,-1.7,1760.0,
3518001,Pickering,Durham,1993,2 Bedroom,1167.0,a,Excellent,13.0,2321.0,
3518001,Pickering,Durham,1993,3 Bedroom,803.0,a,Excellent,-0.5,1597.0,61.8
3518001,Pickering,Durham,1993,Total,854.0,a,Excellent,1.9,1699.0,66.3
3518001,Pickering,Durham,1994,1 Bedroom,829.0,a,Excellent,-6.3,1647.0,
3518001,Pickering,Durham,1994,3 Bedroom,808.0,a,Excellent,0.6,1606.0,62.2
3518001,Pickering,Durham,1994,Total,833.0,a,Excellent,-2.5,1655.0,64.6
3518001,Pickering,Durham,1995,1 Bedroom,805.0,a,Excellent,-2.9,1561.0,
3518001,Pickering,Durham,1995,3 Bedroom,875.0,a,Excellent,8.3,1697.0,67.3
3518001,Pickering,Durham,1995,Total,879.0,a,Excellent,5.5,1705.0,68.2
3518001,Pickering,Durham,1996,1 Bedroom,804.0,a,Excellent,-0.1,1534.0,
3518001,Pickering,Durham,1996,2 Bedroom,941.0,a,Excellent,,1795.0,
3518001,Pickering,Durham,1996,3 Bedroom,879.0,a,Excellent,0.5,1677.0,67.6
3518001,Pickering,Durham,1996,Total,871.0,a,Excellent,-0.9,1661.0,67.6
3518001,Pickering,Durham,1997,3 Bedroom,893.0,a,Excellent,1.6,1673.0,68.7
3518001,Pickering,Durham,1997,Total,891.0,a,Excellent,2.3,1669.0,69.1
3518001,Pickering,Durham,1998,3 Bedroom,942.0,a,Excellent,5.5,1747.0,72.5
3518001,Pickering,Durham,1998,Total,932.0,a,Excellent,4.6,1728.0,72.3
3518001,Pickering,Durham,1999,3 Bedroom,970.0,a,Excellent,3.0,1764.0,74.6
3518001,Pickering,Durham,1999,Total,958.0,a,Excellent,2.8,1742.0,74.3
3518001,Pickering,Durham,2000,3 Bedroom,1030.0,a,Excellent,6.2,1818.0,79.2
3518001,Pickering,Durham,2000,Total,1017.0,a,Excellent,6.2,1795.0,78.9
3518001,Pickering,Durham,2001,3 Bedroom,1068.0,a,Excellent,3.7,1828.0,82.2
3518001,Pickering,Durham,2001,Total,1054.0,a,Excellent,3.6,1804.0,81.8
3518001,Pickering,Durham,2002,3 Bedroom,1129.0,a,Excellent,5.7,1893.0,86.8
3518001,Pickering,Durham,2002,Total,1117.0,a,Excellent,6.0,1873.0,86.7
3518001,Pickering,Durham,2003,Total,1098.0,d,Poor - use with caution,-1.7,1787.0,85.2
3518001,Pickering,Durham,2004,3 Bedroom,1100.0,a,Excellent,,1762.0,84.6
3518001,Pickering,Durham,2004,Total,1088.0,a,Excellent,-0.9,1743.0,84.4
3518001,Pickering,Durham,2005,3 Bedroom,1170.0,a,Excellent,6.4,1839.0,90.0
3518001,Pickering,Durham,2005,Total,1160.0,a,Excellent,6.6,1824.0,90.0
3518001,Pickering,Durham,2006,3 Bedroom,1165.0,a,Excellent,-0.4,1802.0,89.6
3518001,Pickering,Durham,2006,Total,1155.0,a,Excellent,-0.4,1787.0,89.6
3518001,Pickering,Durham,2007,3 Bedroom,1136.0,a,Excellent,-2.5,1725.0,87.4
3518001,Pickering,Durham,2007,Total,1135.0,a,Excellent,-1.7,1723.0,88.1
3518001,Pickering,Durham,2008,3 Bedroom,1144.0,a,Excellent,0.7,1696.0,88.0
3518001,Pickering,Durham,2008,Total,1143.0,a,Excellent,0.7,1694.0,88.7
3518001,Pickering,Durham,2009,3 Bedroom,1159.0,a,Excellent,1.3,1710.0,89.2
3518001,Pickering,Durham,2009,Total,1158.0,a,Excellent,1.3,1709.0,89.8
3518001,Pickering,Durham,2010,3 Bedroom,1178.0,a,Excellent,1.6,1696.0,90.6
3518001,Pickering,Durham,2010,Total,1171.0,a,Excellent,1.1,1686.0,90.8
3518001,Pickering,Durham,2011,3 Bedroom,1182.0,a,Excellent,0.3,1652.0,90.9
3518001,Pickering,Durham,2011,Total,1178.0,a,Excellent,0.6,1646.0,91.4
3518001,Pickering,Durham,2012,3 Bedroom,1217.0,a,Excellent,3.0,1675.0,93.6
3518001,Pickering,Durham,2012,Total,1210.0,a,Excellent,2.7,1665.0,93.9
3518001,Pickering,Durham,2013,3 Bedroom,1246.0,a,Excellent,2.4,1695.0,95.8
3518001,Pickering,Durham,2013,Total,1240.0,a,Excellent,2.5,1687.0,96.2
3518001,Pickering,Durham,2014,3 Bedroom,1254.0,a,Excellent,0.6,1664.0,96.5
3518001,Pickering,Durham,2014,Total,1247.0,a,Excellent,0.6,1654.0,96.7
3518001,Pickering,Durham,2015,3 Bedroom,1300.0,a,Excellent,3.7,1698.0,100.0
3518001,Pickering,Durham,2015,Total,1289.0,a,Excellent,3.4,1684.0,100.0
3518001,Pickering,Durham,2016,3 Bedroom,1313.0,a,Excellent,1.0,1681.0,101.0
3518001,Pickering,Durham,2016,Total,1306.0,a,Excellent,1.3,1672.0,101.3
3518001,Pickering,Durham,2017,3 Bedroom,1349.0,a,Excellent,2.7,1692.0,103.8
3518001,Pickering,Durham,2017,Total,1341.0,a,Excellent,2.7,1682.0,104.0
3518001,Pickering,Durham,2018,3 Bedroom,1414.0,a,Excellent,4.8,1729.0,108.8
3518001,Pickering,Durham,2018,Total,1395.0,a,Excellent,4.0,1706.0,108.2
3518001,Pickering,Durham,2019,3 Bedroom,1481.0,a,Excellent,4.7,1775.0,113.9
3518001,Pickering,Durham,2019,Total,1468.0,a,Excellent,5.2,1760.0,113.9
3518001,Pickering,Durham,2020,3 Bedroom,1537.0,a,Excellent,3.8,1837.0,118.2
3518001,Pickering,Durham,2020,Total,1521.0,a,Excellent,3.6,1818.0,118.0
3518001,Pickering,Durham,2021,3 Bedroom,1564.0,a,Excellent,1.8,1817.0,120.3
3518001,Pickering,Durham,2021,Total,1563.0,a,Excellent,2.8,1816.0,121.3
3518001,Pickering,Durham,2022,3 Bedroom,1611.0,a,Excellent,3.0,1757.0,123.9
3518001,Pickering,Durham,2022,Total,1599.0,a,Excellent,2.3,1744.0,124.0
3518001,Pickering,Durham,2023,3 Bedroom,1848.0,a,Excellent,14.7,1935.0,142.2
3518001,Pickering,Durham,2023,Total,1846.0,a,Excellent,15.4,1933.0,143.2
3518001,Pickering,Durham,2024,3 Bedroom,1749.0,a,Excellent,-5.4,1781.0,134.5
3518001,Pickering,Durham,2024,Total,1747.0,a,Excellent,-5.4,1779.0,135.5
3518001,Pickering,Durham,2025,3 Bedroom,1828.0,a,Excellent,4.5,1828.0,140.6
3518001,Pickering,Durham,2025,Total,1826.0,a,Excellent,4.5,1826.0,141.7
3518005,Ajax,Durham,1990,1 Bedroom,452.0,a,Excellent,,960.0,50.1
3518005,Ajax,Durham,1990,2 Bedroom,638.0,a,Excellent,,1355.0,58.3
3518005,Ajax,Durham,1990,3 Bedroom,748.0,a,Excellent,,1589.0,56.7
3518005,Ajax,Durham,1990,Total,648.0,a,Excellent,,1377.0,57.4
3518005,Ajax,Durham,1991,1 Bedroom,514.0,a,Excellent,13.7,1048.0,57.0
3518005,Ajax,Durham,1991,2 Bedroom,697.0,a,Excellent,9.2,1421.0,63.7
3518005,Ajax,Durham,1991,3 Bedroom,816.0,a,Excellent,9.1,1664.0,61.9
3518005,Ajax,Durham,1991,Total,709.0,a,Excellent,9.4,1446.0,62.9
3518005,Ajax,Durham,1992,1 Bedroom,539.0,a,Excellent,4.9,1089.0,59.8
3518005,Ajax,Durham,1992,2 Bedroom,721.0,a,Excellent,3.4,1457.0,65.9
3518005,Ajax,Durham,1992,3 Bedroom,838.0,b,Very good,2.7,1693.0,63.5
3518005,Ajax,Durham,1992,Total,728.0,a,Excellent,2.7,1471.0,64.5
3518005,Ajax,Durham,1993,1 Bedroom,585.0,a,Excellent,8.5,1164.0,64.9
3518005,Ajax,Durham,1993,2 Bedroom,741.0,a,Excellent,2.8,1474.0,67.7
3518005,Ajax,Durham,1993,3 Bedroom,882.0,a,Excellent,5.3,1754.0,66.9
3518005,Ajax,Durham,1993,Total,761.0,a,Excellent,4.5,1514.0,67.5
3518005,Ajax,Durham,1994,1 Bedroom,594.0,a,Excellent,1.5,1180.0,65.9
3518005,Ajax,Durham,1994,2 Bedroom,764.0,a,Excellent,3.1,1518.0,69.8
3518005,Ajax,Durham,1994,3 Bedroom,848.0,a,Excellent,-3.9,1685.0,64.3
3518005,Ajax,Durham,1994,Total,769.0,a,Excellent,1.1,1528.0,68.2
3518005,Ajax,Durham,1995,1 Bedroom,552.0,a,Excellent,-7.1,1070.0,61.2
3518005,Ajax,Durham,1995,2 Bedroom,756.0,a,Excellent,-1.0,1466.0,69.1
3518005,Ajax,Durham,1995,3 Bedroom,820.0,a,Excellent,-3.3,1590.0,62.2
3518005,Ajax,Durham,1995,Total,755.0,a,Excellent,-1.8,1464.0,66.9
3518005,Ajax,Durham,1996,1 Bedroom,576.0,a,Excellent,4.3,1099.0,63.9
3518005,Ajax,Durham,1996,2 Bedroom,771.0,a,Excellent,2.0,1471.0,70.5
3518005,Ajax,Durham,1996,3 Bedroom,854.0,a,Excellent,4.1,1629.0,64.7
3518005,Ajax,Durham,1996,Total,775.0,a,Excellent,2.6,1478.0,68.7
3518005,Ajax,Durham,1997,1 Bedroom,575.0,a,Excellent,-0.2,1077.0,63.7
3518005,Ajax,Durham,1997,2 Bedroom,761.0,a,Excellent,-1.3,1426.0,69.6
3518005,Ajax,Durham,1997,3 Bedroom,851.0,a,Excellent,-0.4,1594.0,64.5
3518005,Ajax,Durham,1997,Total,769.0,a,Excellent,-0.8,1441.0,68.2
3518005,Ajax,Durham,1998,1 Bedroom,633.0,a,Excellent,10.1,1174.0,70.2
3518005,Ajax,Durham,1998,2 Bedroom,798.0,a,Excellent,4.9,1480.0,72.9
3518005,Ajax,Durham,1998,3 Bedroom,886.0,a,Excellent,4.1,1643.0,67.2
3518005,Ajax,Durham,1998,Total,812.0,a,Excellent,5.6,1506.0,72.0
3518005,Ajax,Durham,1999,1 Bedroom,575.0,a,Excellent,-9.2,1046.0,63.7
3518005,Ajax,Durham,1999,2 Bedroom,800.0,a,Excellent,0.3,1455.0,73.1
3518005,Ajax,Durham,1999,3 Bedroom,894.0,a,Excellent,0.9,1626.0,67.8
3518005,Ajax,Durham,1999,Total,802.0,a,Excellent,-1.2,1458.0,71.1
3518005,Ajax,Durham,2000,1 Bedroom,676.0,a,Excellent,17.6,1193.0,74.9
3518005,Ajax,Durham,2000,2 Bedroom,860.0,a,Excellent,7.5,1518.0,78.6
3518005,Ajax,Durham,2000,3 Bedroom,945.0,a,Excellent,5.7,1668.0,71.6
3518005,Ajax,Durham,2000,Total,861.0,a,Excellent,7.4,1519.0,76.3
3518005,Ajax,Durham,2001,1 Bedroom,643.0,a,Excellent,-4.9,1101.0,71.3
3518005,Ajax,Durham,2001,2 Bedroom,861.0,a,Excellent,0.1,1474.0,78.7
3518005,Ajax,Durham,2001,3 Bedroom,971.0,a,Excellent,2.8,1662.0,73.6
3518005,Ajax,Durham,2001,Total,871.0,a,Excellent,1.2,1491.0,77.2
3518005,Ajax,Durham,2002,1 Bedroom,735.0,a,Excellent,14.3,1232.0,81.5
3518005,Ajax,Durham,2002,2 Bedroom,903.0,a,Excellent,4.9,1514.0,82.5
3518005,Ajax,Durham,2002,3 Bedroom,1008.0,a,Excellent,3.8,1690.0,76.4
3518005,Ajax,Durham,2002,Total,909.0,a,Excellent,4.4,1524.0,80.6
3518005,Ajax,Durham,2003,1 Bedroom,740.0,a,Excellent,0.7,1204.0,82.0
3518005,Ajax,Durham,2003,2 Bedroom,1016.0,a,Excellent,12.5,1653.0,92.9
3518005,Ajax,Durham,2003,3 Bedroom,1169.0,a,Excellent,16.0,1902.0,88.6
3518005,Ajax,Durham,2003,Total,1018.0,a,Excellent,12.0,1657.0,90.2
3518005,Ajax,Durham,2004,1 Bedroom,740.0,a,Excellent,0.0,1185.0,82.0
3518005,Ajax,Durham,2004,2 Bedroom,1016.0,a,Excellent,0.0,1627.0,92.9
3518005,Ajax,Durham,2004,3 Bedroom,1151.0,a,Excellent,-1.5,1843.0,87.3
3518005,Ajax,Durham,2004,Total,1027.0,a,Excellent,0.9,1645.0,91.0
3518005,Ajax,Durham,2005,1 Bedroom,768.0,a,Excellent,3.8,1207.0,85.1
3518005,Ajax,Durham,2005,2 Bedroom,969.0,a,Excellent,-4.6,1523.0,88.6
3518005,Ajax,Durham,2005,3 Bedroom,1068.0,a,Excellent,-7.2,1679.0,81.0
3518005,Ajax,Durham,2005,Total,978.0,a,Excellent,-4.8,1538.0,86.7
3518005,Ajax,Durham,2006,1 Bedroom,737.0,a,Excellent,-4.0,1140.0,81.7
3518005,Ajax,Durham,2006,2 Bedroom,940.0,a,Excellent,-3.0,1454.0,85.9
3518005,Ajax,Durham,2006,3 Bedroom,1128.0,a,Excellent,5.6,1745.0,85.5
3518005,Ajax,Durham,2006,Total,959.0,a,Excellent,-1.9,1484.0,85.0
3518005,Ajax,Durham,2007,1 Bedroom,716.0,a,Excellent,-2.8,1087.0,79.4
3518005,Ajax,Durham,2007,2 Bedroom,899.0,a,Excellent,-4.4,1365.0,82.2
3518005,Ajax,Durham,2007,3 Bedroom,974.0,a,Excellent,-13.7,1479.0,73.8
3518005,Ajax,Durham,2007,Total,904.0,a,Excellent,-5.7,1372.0,80.1
3518005,Ajax,Durham,2008,1 Bedroom,776.0,a,Excellent,8.4,1150.0,86.0
3518005,Ajax,Durham,2008,2 Bedroom,967.0,a,Excellent,7.6,1433.0,88.4
3518005,Ajax,Durham,2008,3 Bedroom,1070.0,a,Excellent,9.9,1586.0,81.1
3518005,Ajax,Durham,2008,Total,963.0,a,Excellent,6.5,1427.0,85.4
3518005,Ajax,Durham,2009,1 Bedroom,796.0,a,Excellent,2.6,1174.0,88.2
3518005,Ajax,Durham,2009,2 Bedroom,934.0,a,Excellent,-3.4,1378.0,85.4
3518005,Ajax,Durham,2009,3 Bedroom,1011.0,b,Very good,-5.5,1492.0,76.6
3518005,Ajax,Durham,2009,Total,938.0,a,Excellent,-2.6,1384.0,83.2
3518005,Ajax,Durham,2010,1 Bedroom,801.0,a,Excellent,0.6,1153.0,88.8
3518005,Ajax,Durham,2010,2 Bedroom,991.0,a,Excellent,6.1,1427.0,90.6
3518005,Ajax,Durham,2010,3 Bedroom,1099.0,a,Excellent,8.7,1582.0,83.3
3518005,Ajax,Durham,2010,Total,1005.0,a,Excellent,7.1,1447.0,89.1
3518005,Ajax,Durham,2011,2 Bedroom,1035.0,a,Excellent,4.4,1446.0,94.6
3518005,Ajax,Durham,2011,3 Bedroom,1077.0,b,Very good,-2.0,1505.0,81.7
3518005,Ajax,Durham,2011,Total,1039.0,a,Excellent,3.4,1452.0,92.1
3518005,Ajax,Durham,2012,2 Bedroom,1050.0,a,Excellent,1.4,1445.0,96.0
3518005,Ajax,Durham,2012,3 Bedroom,1105.0,a,Excellent,2.6,1521.0,83.8
3518005,Ajax,Durham,2012,Total,1064.0,a,Excellent,2.4,1464.0,94.3
3518005,Ajax,Durham,2013,1 Bedroom,818.0,a,Excellent,,1113.0,90.7
3518005,Ajax,Durham,2013,2 Bedroom,1027.0,a,Excellent,-2.2,1397.0,93.9
3518005,Ajax,Durham,2013,3 Bedroom,1248.0,a,Excellent,12.9,1698.0,94.6
3518005,Ajax,Durham,2013,Total,1067.0,a,Excellent,0.3,1451.0,94.6
3518005,Ajax,Durham,2014,1 Bedroom,882.0,a,Excellent,7.8,1170.0,97.8
3518005,Ajax,Durham,2014,2 Bedroom,1094.0,a,Excellent,6.5,1451.0,100.0
3518005,Ajax,Durham,2014,3 Bedroom,1255.0,a,Excellent,0.6,1665.0,95.1
3518005,Ajax,Durham,2014,Total,1115.0,a,Excellent,4.5,1479.0,98.8
3518005,Ajax,Durham,2015,1 Bedroom,902.0,a,Excellent,2.3,1178.0,100.0
3518005,Ajax,Durham,2015,2 Bedroom,1094.0,a,Excellent,0.0,1429.0,100.0
3518005,Ajax,Durham,2015,3 Bedroom,1319.0,a,Excellent,5.1,1723.0,100.0
3518005,Ajax,Durham,2015,Total,1128.0,a,Excellent,1.2,1474.0,100.0
3518005,Ajax,Durham,2016,2 Bedroom,1212.0,a,Excellent,10.8,1552.0,110.8
3518005,Ajax,Durham,2016,3 Bedroom,1272.0,b,Very good,-3.6,1629.0,96.4
3518005,Ajax,Durham,2016,Total,1232.0,b,Very good,9.2,1577.0,109.2
3518005,Ajax,Durham,2017,1 Bedroom,976.0,a,Excellent,,1224.0,108.2
3518005,Ajax,Durham,2017,2 Bedroom,1105.0,a,Excellent,-8.8,1386.0,101.0
3518005,Ajax,Durham,2017,3 Bedroom,1250.0,a,Excellent,-1.7,1568.0,94.8
3518005,Ajax,Durham,2017,Total,1127.0,a,Excellent,-8.5,1414.0,99.9
3518005,Ajax,Durham,2018,1 Bedroom,963.0,a,Excellent,-1.3,1178.0,106.8
3518005,Ajax,Durham,2018,2 Bedroom,1248.0,a,Excellent,12.9,1526.0,114.1
3518005,Ajax,Durham,2018,3 Bedroom,1378.0,a,Excellent,10.2,1685.0,104.5
3518005,Ajax,Durham,2018,Total,1254.0,a,Excellent,11.3,1534.0,111.2
3518005,Ajax,Durham,2019,1 Bedroom,989.0,a,Excellent,2.7,1186.0,109.6
3518005,Ajax,Durham,2019,2 Bedroom,1237.0,a,Excellent,-0.9,1483.0,113.1
3518005,Ajax,Durham,2019,3 Bedroom,1516.0,a,Excellent,10.0,1817.0,114.9
3518005,Ajax,Durham,2019,Total,1241.0,a,Excellent,-1.0,1488.0,110.0
3518005,Ajax,Durham,2020,1 Bedroom,1258.0,b,Very good,27.2,1503.0,139.5
3518005,Ajax,Durham,2020,2 Bedroom,1362.0,a,Excellent,10.1,1628.0,124.5
3518005,Ajax,Durham,2020,3 Bedroom,1481.0,a,Excellent,-2.3,1770.0,112.3
3518005,Ajax,Durham,2020,Total,1390.0,a,Excellent,12.0,1661.0,123.2
3518005,Ajax,Durham,2021,1 Bedroom,965.0,a,Excellent,-23.3,1121.0,107.0
3518005,Ajax,Durham,2021,2 Bedroom,1302.0,b,Very good,-4.4,1513.0,119.0
3518005,Ajax,Durham,2021,3 Bedroom,1556.0,a,Excellent,5.1,1808.0,118.0
3518005,Ajax,Durham,2021,Total,1291.0,b,Very good,-7.1,1500.0,114.5
3518005,Ajax,Durham,2022,1 Bedroom,1265.0,d,Poor - use with caution,31.1,1380.0,140.2
3518005,Ajax,Durham,2022,2 Bedroom,1532.0,a,Excellent,17.7,1671.0,140.0
3518005,Ajax,Durham,2022,3 Bedroom,1607.0,a,Excellent,3.3,1753.0,121.8
3518005,Ajax,Durham,2022,Total,1547.0,a,Excellent,19.8,1687.0,137.1
3518005,Ajax,Durham,2023,1 Bedroom,1456.0,b,Very good,15.1,1524.0,161.4
3518005,Ajax,Durham,2023,2 Bedroom,1809.0,a,Excellent,18.1,1894.0,165.4
3518005,Ajax,Durham,2023,3 Bedroom,2224.0,b,Very good,38.4,2328.0,168.6
3518005,Ajax,Durham,2023,Total,1879.0,b,Very good,21.5,1967.0,166.6
3518005,Ajax,Durham,2024,1 Bedroom,1115.0,b,Very good,-23.4,1135.0,123.6
3518005,Ajax,Durham,2024,2 Bedroom,1645.0,a,Excellent,-9.1,1675.0,150.4
3518005,Ajax,Durham,2024,3 Bedroom,1794.0,a,Excellent,-19.3,1826.0,136.0
3518005,Ajax,Durham,2024,Total,1649.0,a,Excellent,-12.2,1679.0,146.2
3518005,Ajax,Durham,2025,1 Bedroom,1216.0,b,Very good,9.1,1216.0,134.8
3518005,Ajax,Durham,2025,2 Bedroom,1727.0,a,Excellent,5.0,1727.0,157.9
3518005,Ajax,Durham,2025,3 Bedroom,1870.0,a,Excellent,4.2,1870.0,141.8
3518005,Ajax,Durham,2025,Total,1740.0,a,Excellent,5.5,1740.0,154.3
3518009,Whitby,Durham,1990,1 Bedroom,574.0,a,Excellent,,1219.0,59.6
3518009,Whitby,Durham,1990,2 Bedroom,624.0,a,Excellent,,1326.0,58.5
3518009,Whitby,Durham,1990,3 Bedroom,672.0,a,Excellent,,1428.0,58.3
3518009,Whitby,Durham,1990,Studio,608.0,b,Very good,,1292.0,70.6
3518009,Whitby,Durham,1990,Total,612.0,a,Excellent,,1300.0,60.0
3518009,Whitby,Durham,1991,1 Bedroom,599.0,a,Excellent,4.4,1221.0,62.2
3518009,Whitby,Durham,1991,2 Bedroom,674.0,a,Excellent,8.0,1374.0,63.2
3518009,Whitby,Durham,1991,3 Bedroom,838.0,a,Excellent,24.7,1709.0,72.7
3518009,Whitby,Durham,1991,Studio,576.0,a,Excellent,-5.3,1174.0,66.9
3518009,Whitby,Durham,1991,Total,671.0,a,Excellent,9.6,1368.0,65.8
3518009,Whitby,Durham,1992,1 Bedroom,594.0,a,Excellent,-0.8,1200.0,61.7
3518009,Whitby,Durham,1992,2 Bedroom,687.0,a,Excellent,1.9,1388.0,64.4
3518009,Whitby,Durham,1992,3 Bedroom,875.0,a,Excellent,4.4,1768.0,76.0
3518009,Whitby,Durham,1992,Studio,584.0,a,Excellent,1.4,1180.0,67.8
3518009,Whitby,Durham,1992,Total,682.0,a,Excellent,1.6,1378.0,66.9
3518009,Whitby,Durham,1993,1 Bedroom,604.0,a,Excellent,1.7,1201.0,62.7
3518009,Whitby,Durham,1993,2 Bedroom,672.0,a,Excellent,-2.2,1337.0,63.0
3518009,Whitby,Durham,1993,3 Bedroom,864.0,a,Excellent,-1.3,1719.0,75.0
3518009,Whitby,Durham,1993,Studio,535.0,a,Excellent,-8.4,1064.0,62.1
3518009,Whitby,Durham,1993,Total,676.0,a,Excellent,-0.9,1345.0,66.3
3518009,Whitby,Durham,1994,1 Bedroom,619.0,a,Excellent,2.5,1230.0,64.3
3518009,Whitby,Durham,1994,2 Bedroom,684.0,a,Excellent,1.8,1359.0,64.2
3518009,Whitby,Durham,1994,3 Bedroom,888.0,a,Excellent,2.8,1765.0,77.1
3518009,Whitby,Durham,1994,Studio,552.0,c,Good,3.2,1097.0,64.1
3518009,Whitby,Durham,1994,Total,691.0,a,Excellent,2.2,1373.0,67.7
3518009,Whitby,Durham,1995,1 Bedroom,653.0,a,Excellent,5.5,1266.0,67.8
3518009,Whitby,Durham,1995,2 Bedroom,728.0,a,Excellent,6.4,1412.0,68.3
3518009,Whitby,Durham,1995,3 Bedroom,874.0,a,Excellent,-1.6,1695.0,75.9
