csd_code,municipality,region,year,survey_month,bedroom_type,vacancy_rate_pct,quality_flag,quality_level
3518001,Pickering,Durham,1990,October,1 Bedroom,0.0,a,Excellent
3518001,Pickering,Durham,1990,October,2 Bedroom,4.7,a,Excellent
3518001,Pickering,Durham,1990,October,3 Bedroom,15.2,a,Excellent
3518001,Pickering,Durham,1990,October,Total,14.2,a,Excellent
3518001,Pickering,Durham,1991,October,1 Bedroom,8.3,a,Excellent
3518001,Pickering,Durham,1991,October,2 Bedroom,10.5,a,Excellent
3518001,Pickering,Durham,1991,October,3 Bedroom,26.2,a,Excellent
3518001,Pickering,Durham,1991,October,Studio,20.0,a,Excellent
3518001,Pickering,Durham,1991,October,Total,21.3,a,Excellent
3518001,Pickering,Durham,1992,October,1 Bedroom,0.7,a,Excellent
3518001,Pickering,Durham,1992,October,2 Bedroom,7.4,a,Excellent
3518001,Pickering,Durham,1992,October,3 Bedroom,22.5,a,Excellent
3518001,Pickering,Durham,1992,October,Total,17.4,a,Excellent
3518001,Pickering,Durham,1993,October,1 Bedroom,2.4,a,Excellent
3518001,Pickering,Durham,1993,October,2 Bedroom,2.1,a,Excellent
3518001,Pickering,Durham,1993,October,3 Bedroom,25.6,a,Excellent
3518001,Pickering,Durham,1993,October,Studio,0.0,a,Excellent
3518001,Pickering,Durham,1993,October,Total,19.4,a,Excellent
3518001,Pickering,Durham,1994,October,1 Bedroom,0.0,a,Excellent
3518001,Pickering,Durham,1994,October,2 Bedroom,0.0,a,Excellent
3518001,Pickering,Durham,1994,October,3 Bedroom,18.0,a,Excellent
3518001,Pickering,Durham,1994,October,Total,11.9,a,Excellent
3518001,Pickering,Durham,1995,October,3 Bedroom,1.3,a,Excellent
3518001,Pickering,Durham,1995,October,Total,0.8,a,Excellent
3518001,Pickering,Durham,1996,October,3 Bedroom,4.2,a,Excellent
3518001,Pickering,Durham,1996,October,Total,2.6,a,Excellent
3518001,Pickering,Durham,1997,October,3 Bedroom,0.3,a,Excellent
3518001,Pickering,Durham,1997,October,Total,0.2,a,Excellent
3518001,Pickering,Durham,1998,October,3 Bedroom,0.5,a,Excellent
3518001,Pickering,Durham,1998,October,Total,0.9,a,Excellent
3518001,Pickering,Durham,2000,October,3 Bedroom,0.0,a,Excellent
3518001,Pickering,Durham,2000,October,Total,0.0,c,Good
3518001,Pickering,Durham,2001,October,1 Bedroom,0.0,a,Excellent
3518001,Pickering,Durham,2001,October,3 Bedroom,0.3,a,Excellent
3518001,Pickering,Durham,2001,October,Total,0.3,a,Excellent
3518001,Pickering,Durham,2002,October,3 Bedroom,0.2,b,Very good
3518001,Pickering,Durham,2002,October,Total,0.2,b,Very good
3518001,Pickering,Durham,2003,October,3 Bedroom,0.2,b,Very good
3518001,Pickering,Durham,2003,October,Total,0.2,b,Very good
3518001,Pickering,Durham,2004,October,3 Bedroom,0.3,b,Very good
3518001,Pickering,Durham,2004,October,Total,0.6,b,Very good
3518001,Pickering,Durham,2009,October,3 Bedroom,0.8,a,Excellent
3518001,Pickering,Durham,2009,October,Total,0.7,a,Excellent
3518001,Pickering,Durham,2010,October,3 Bedroom,0.0,a,Excellent
