geo_level,geo_code,geo_name,census_year,households_2021,median_hh_income_2020,median_hh_after_tax_income_2020,median_hh_income_2015_in_2020_dollars
Country,11124,Canada,2021,14978940,84000.0,73000.0,76000.0
Municipality,3518001,Pickering,2021,33425,118000.0,102000.0,108000.0
Municipality,3518005,Ajax,2021,39490,119000.0,103000.0,105000.0
Municipality,3518009,Whitby,2021,46460,123000.0,104000.0,112000.0
Municipality,3518013,Oshawa,2021,66635,86000.0,76000.0,76000.0
Municipality,3518017,Clarington,2021,35950,112000.0,96000.0,104000.0
Municipality,3518020,Scugog,2021,8240,108000.0,92000.0,98000.0
Municipality,3518029,Uxbridge,2021,8005,117000.0,99000.0,107000.0
Municipality,3518039,Brock,2021,4785,92000.0,81000.0,79000.0
Municipality,3519028,Vaughan,2021,103915,124000.0,107000.0,114000.0
Municipality,3519036,Markham,2021,110870,104000.0,92000.0,96000.0
Municipality,3519038,Richmond Hill,2021,69315,102000.0,89000.0,96000.0
Municipality,3519044,Whitchurch-Stouffville,2021,16705,122000.0,104000.0,111000.0
Municipality,3519046,Aurora,2021,21505,119000.0,102000.0,115000.0
Municipality,3519048,Newmarket,2021,30300,110000.0,95000.0,103000.0
Municipality,3519049,King,2021,8965,141000.0,117000.0,128000.0
Municipality,3519054,East Gwillimbury,2021,11450,119000.0,102000.0,113000.0
Municipality,3519070,Georgina,2021,17895,98000.0,85000.0,88000.0
Municipality,3520005,Toronto,2021,1160895,84000.0,74000.0,71000.0
Municipality,3521005,Mississauga,2021,244575,102000.0,89000.0,90000.0
Municipality,3521010,Brampton,2021,182470,111000.0,98000.0,94000.0
Municipality,3521024,Caledon,2021,23700,133000.0,113000.0,123000.0
Municipality,3524001,Oakville,2021,73560,128000.0,108000.0,123000.0
Municipality,3524002,Burlington,2021,73180,110000.0,94000.0,101000.0
Municipality,3524009,Milton,2021,40035,126000.0,107000.0,113000.0
Municipality,3524015,Halton Hills,2021,21825,127000.0,107000.0,115000.0
Province,35,Ontario,2021,5491205,91000.0,79500.0,80000.0
Region,3518,Durham,2021,243045,107000.0,93000.0,97000.0
Region,3519,York,2021,391035,112000.0,97000.0,104000.0
Region,3520,Toronto,2021,1160895,84000.0,74000.0,71000.0
Region,3521,Peel,2021,450745,107000.0,94000.0,93000.0
Region,3524,Halton,2021,208605,121000.0,103000.0,111000.0
