csd_code,year,population
3520005,2001,2583704
3521005,2001,638334
3521010,2001,341463
3519036,2001,218268
3519028,2001,191304
3524001,2001,150717
3519038,2001,138233
3524002,2001,156873
3518013,2001,144619
3518009,2001,91396
3524009,2001,33162
3518005,2001,77080
3518017,2001,72765
3518001,2001,90552
3519048,2001,68688
3521024,2001,52639
3524015,2001,50268
3519046,2001,41923
3519044,2001,22892
3519070,2001,40919
3519054,2001,21357
3519049,2001,19229
3518020,2001,20909
3518029,2001,18024
3518039,2001,12517
3520005,2002,2603655
3521005,2002,654694
3521010,2002,365476
3519036,2002,231802
3519028,2002,205617
3524001,2002,154873
3519038,2002,146528
3524002,2002,159585
3518013,2002,144950
3518009,2002,95900
3524009,2002,37319
3518005,2002,80308
3518017,2002,74331
3518001,2002,90747
3519048,2002,71653
3521024,2002,54357
3524015,2002,51717
3519046,2002,44160
3519044,2002,23725
3519070,2002,42265
3519054,2002,21821
3519049,2002,19697
3518020,2002,21152
3518029,2002,18384
3518039,2002,12480
3520005,2003,2595755
3521005,2003,667050
3521010,2003,387671
3519036,2003,243408
3519028,2003,217965
3524001,2003,159083
3519038,2003,153445
3524002,2003,162264
3518013,2003,145814
3518009,2003,100803
3524009,2003,41608
3518005,2003,83840
3518017,2003,76140
3518001,2003,91226
3519048,2003,73818
3521024,2003,55794
3524015,2003,53161
3519046,2003,45945
3519044,2003,24327
3519070,2003,43138
3519054,2003,22058
3519049,2003,19985
3518020,2003,21448
3518029,2003,18789
3518039,2003,12469
3520005,2004,2591737
3521005,2004,679298
3521010,2004,410414
3519036,2004,254168
3519028,2004,229494
3524001,2004,164017
3519038,2004,159737
3524002,2004,165705
3518013,2004,146519
3518009,2004,105815
3524009,2004,46287
3518005,2004,87354
3518017,2004,77887
3518001,2004,91522
3519048,2004,75545
3521024,2004,57193
3524015,2004,54839
3519046,2004,47466
3519044,2004,24817
3519070,2004,43771
3519054,2004,22169
3519049,2004,20190
3518020,2004,21739
3518029,2004,19184
3518039,2004,12450
3520005,2005,2595326
3521005,2005,690560
3521010,2005,433414
3519036,2005,263390
3519028,2005,239579
3524001,2005,168510
3519038,2005,164880
3524002,2005,168655
3518013,2005,146949
3518009,2005,110841
3524009,2005,51239
3518005,2005,90724
3518017,2005,79482
3518001,2005,91544
3519048,2005,76553
3521024,2005,58516
3524015,2005,56371
3519046,2005,48585
3519044,2005,25061
3519070,2005,43962
3519054,2005,22043
3519049,2005,20216
3518020,2005,21996
3518029,2005,19540
3518039,2005,12424
3520005,2006,2608715
3521005,2006,697889
3521010,2006,456114
3519036,2006,273609
